gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
9517-3,1599730657492,1,clickedObj,,tomato,filler,none,target,2,3,pig,filler,none,distractor,1,4,fish,filler,none,distractor,4,2,horse,filler,none,distractor,3,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730669358,2,clickedObj,,elephant,filler,none,target,3,4,bowl,filler,none,distractor,1,1,guitar,filler,none,distractor,4,2,banana,filler,none,distractor,2,3,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730680392,3,clickedObj,,butterfly,filler,none,target,4,1,chick,filler,none,distractor,1,3,strawberry,filler,none,distractor,2,4,dog,filler,none,distractor,3,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730692057,4,clickedObj,,horse,filler,none,target,2,3,tomato,filler,none,distractor,1,1,fish,filler,none,distractor,4,4,pig,filler,none,distractor,3,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730705676,5,clickedObj,,strawberry,filler,none,target,2,1,dog,filler,none,distractor,1,3,chick,filler,none,distractor,3,4,butterfly,filler,none,distractor,4,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730717807,6,clickedObj,,tie_small_blue,overinformativeness,color_sufficient,target,1,3,tie_small_red,overinformativeness,color_sufficient,distractor,3,4,tie_big_red,overinformativeness,color_sufficient,distractor,2,2,tie_small_red,overinformativeness,color_sufficient,distractor,4,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730729373,7,clickedObj,,bag_small_red,overinformativeness,size_sufficient,target,4,2,bag_big_red,overinformativeness,size_sufficient,distractor,1,3,bag_big_blue,overinformativeness,size_sufficient,distractor,3,1,bag_big_red,overinformativeness,size_sufficient,distractor,2,4,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730747477,8,clickedObj,,pot_big_green,overinformativeness,color_sufficient,target,2,1,pot_small_blue,overinformativeness,color_sufficient,distractor,4,3,pot_big_blue,overinformativeness,color_sufficient,distractor,1,2,pot_big_blue,overinformativeness,color_sufficient,distractor,3,4,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730763028,9,clickedObj,,box_open_wood,adjective_ordering,none,target,3,4,box_open_cardboard,adjective_ordering,none,distractor,4,3,box_closed_wood,adjective_ordering,none,distractor,1,1,box_closed_cardboard,adjective_ordering,none,distractor,2,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730778072,10,clickedObj,,scissors_big_green,overinformativeness,color_sufficient,target,2,1,scissors_big_blue,overinformativeness,color_sufficient,distractor,4,3,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,4,scissors_small_blue,overinformativeness,color_sufficient,distractor,3,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730790453,11,clickedObj,,shorts_wet_green,adjective_ordering,none,target,3,2,shorts_wet_red,adjective_ordering,none,distractor,1,3,shorts_dry_red,adjective_ordering,none,distractor,4,1,shorts_dry_green,adjective_ordering,none,distractor,2,4,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730805580,12,clickedObj,,balloon_big_yellow,overinformativeness,size_sufficient,target,3,2,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,1,4,baloon_small_pink,overinformativeness,size_sufficient,distractor,2,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730823670,13,clickedObj,,woman_old_sad,adjective_ordering,none,target,3,4,woman_old_happy,adjective_ordering,none,distractor,2,2,woman_young_sad,adjective_ordering,none,distractor,1,3,woman_young_happy,adjective_ordering,none,distractor,4,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730838008,14,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,4,3,flower_big_pink,overinformativeness,size_sufficient,distractor,1,4,flower_big_yellow,overinformativeness,size_sufficient,distractor,2,2,flower_big_pink,overinformativeness,size_sufficient,distractor,3,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730844815,15,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,4,3,flower_big_pink,overinformativeness,size_sufficient,distractor,1,4,flower_big_pink,overinformativeness,size_sufficient,distractor,3,1,flower_big_yellow,overinformativeness,size_sufficient,distractor,2,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730864966,16,clickedObj,,hair_curly_blonde,adjective_ordering,none,distractor,4,3,hair_straight_brown,adjective_ordering,none,distractor,1,2,hair_straight_blond,adjective_ordering,none,target,3,1,hair_curly_brown,adjective_ordering,none,distractor,2,4,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730889092,17,clickedObj,,table_wood_low,adjective_ordering,none,target,2,3,table_metal_high,adjective_ordering,none,distractor,4,2,table_metal_low,adjective_ordering,none,distractor,3,4,table_wood_high,adjective_ordering,none,distractor,1,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730900172,18,clickedObj,,lock_big_gold,overinformativeness,color_sufficient,target,4,2,lock_small_silver,overinformativeness,color_sufficient,distractor,2,4,lock_big_silver,overinformativeness,color_sufficient,distractor,1,3,lock_big_silver,overinformativeness,color_sufficient,distractor,3,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730916775,19,clickedObj,,woman2_sad_skinny,adjective_ordering,none,target,2,1,woman2_sad_fat,adjective_ordering,none,distractor,3,4,woman2_happy_fat,adjective_ordering,none,distractor,4,2,woman2_happy_skinny,adjective_ordering,none,distractor,1,3,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730933262,20,clickedObj,,clock_small_purple,overinformativeness,size_sufficient,target,1,3,clock_big_purple,overinformativeness,size_sufficient,distractor,3,4,clock_big_yellow,overinformativeness,size_sufficient,distractor,2,2,clock_big_purple,overinformativeness,size_sufficient,distractor,4,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730952178,21,clickedObj,,tshirt_big_orange,overinformativeness,color_sufficient,target,2,1,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,4,2,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,3,4,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,1,3,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730962407,22,clickedObj,,pig,filler,none,target,4,4,horse,filler,none,distractor,3,2,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,2,3,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599730978811,23,clickedObj,,nails_red_glossy,adjective_ordering,none,target,3,4,nails_black_matte,adjective_ordering,none,distractor,2,1,nails_red_matte,adjective_ordering,none,distractor,1,3,nails_black_glossy,adjective_ordering,none,distractor,4,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731020916,24,clickedObj,,apple_big_green,overinformativeness,size_sufficient,target,4,3,apple_small_red,overinformativeness,size_sufficient,distractor,2,4,apple_small_green,overinformativeness,size_sufficient,distractor,1,1,apple_small_green,overinformativeness,size_sufficient,distractor,3,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731033051,25,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,target,2,4,knife_big_blue,overinformativeness,size_sufficient,distractor,3,3,knife_big_blue,overinformativeness,size_sufficient,distractor,4,2,knife_big_red,overinformativeness,size_sufficient,distractor,1,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731045918,26,clickedObj,,glasses_big_red,overinformativeness,size_sufficient,target,4,4,glasses_small_red,overinformativeness,size_sufficient,distractor,1,2,glasses_small_red,overinformativeness,size_sufficient,distractor,2,1,glasses_small_blue,overinformativeness,size_sufficient,distractor,3,3,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731059103,27,clickedObj,,man_old_bearded,adjective_ordering,none,target,2,1,man_young_cleanshaven,adjective_ordering,none,distractor,1,4,man_old_cleanshaven,adjective_ordering,none,distractor,4,2,man_young_bearded,adjective_ordering,none,distractor,3,3,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731068357,28,clickedObj,,cow,filler,none,target,4,1,pitcher,filler,none,distractor,3,3,door,filler,none,distractor,2,4,carrot,filler,none,distractor,1,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731086737,29,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,2,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,4,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,1,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,4,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731104080,30,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,target,2,3,lipstick_small_pink,overinformativeness,color_sufficient,distractor,1,4,lipstick_big_pink,overinformativeness,color_sufficient,distractor,4,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,3,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731123741,31,clickedObj,,picture_bw_square,adjective_ordering,none,target,2,2,picture_colored_rectangular,adjective_ordering,none,distractor,1,4,picture_bw_rectangular,adjective_ordering,none,distractor,3,1,picture_colored_square,adjective_ordering,none,distractor,4,3,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731135621,32,clickedObj,,socks_big_green,overinformativeness,color_sufficient,target,2,4,socks_small_blue,overinformativeness,color_sufficient,distractor,4,1,socks_big_blue,overinformativeness,color_sufficient,distractor,1,3,socks_big_blue,overinformativeness,color_sufficient,distractor,3,2,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731161351,33,clickedObj,,spoon_metal_dirty,adjective_ordering,none,target,4,4,spoon_metal_clean,adjective_ordering,none,distractor,3,2,spoon_wooden_clean,adjective_ordering,none,distractor,2,3,spoon_wooden_dirty,adjective_ordering,none,distractor,1,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731171085,34,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,1,3,dress_small_green,overinformativeness,size_sufficient,distractor,4,2,dress_small_blue,overinformativeness,size_sufficient,distractor,3,4,dress_small_green,overinformativeness,size_sufficient,distractor,2,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
9517-3,1599731186015,35,clickedObj,,chair_big_blue,overinformativeness,size_sufficient,target,3,4,chair_small_yellow,overinformativeness,size_sufficient,distractor,4,3,chair_small_blue,overinformativeness,size_sufficient,distractor,1,2,chair_small_blue,overinformativeness,size_sufficient,distractor,2,1,isa_cukurova,ummet_cukurova,?order_type=random_order&last_round=
