gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
1579-7,1599830107072,1,clickedObj,,tomato,filler,none,target,1,4,pig,filler,none,distractor,4,3,horse,filler,none,distractor,3,1,fish,filler,none,distractor,2,2,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830122650,2,clickedObj,,elephant,filler,none,target,1,4,guitar,filler,none,distractor,4,1,banana,filler,none,distractor,3,2,bowl,filler,none,distractor,2,3,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830139939,3,clickedObj,,butterfly,filler,none,target,1,3,dog,filler,none,distractor,3,2,strawberry,filler,none,distractor,2,4,chick,filler,none,distractor,4,1,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830158991,4,clickedObj,,horse,filler,none,target,1,3,fish,filler,none,distractor,3,1,tomato,filler,none,distractor,2,4,pig,filler,none,distractor,4,2,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830179336,5,clickedObj,,strawberry,filler,none,target,3,2,butterfly,filler,none,distractor,2,1,chick,filler,none,distractor,4,3,dog,filler,none,distractor,1,4,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830198046,6,clickedObj,,pencil_long_black,adjective_ordering,none,target,4,2,pencil_short_black,adjective_ordering,none,distractor,2,4,pencil_short_blue,adjective_ordering,none,distractor,1,1,pencil_long_blue,adjective_ordering,none,distractor,3,3,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830226269,7,clickedObj,,ball_big_yellow,overinformativeness,size_sufficient,distractor,3,2,ball_big_purple,overinformativeness,size_sufficient,distractor,2,3,ball_small_purple,overinformativeness,size_sufficient,target,1,1,ball_big_purple,overinformativeness,size_sufficient,distractor,4,4,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830253986,8,clickedObj,,hair_curly_blonde,adjective_ordering,none,distractor,1,1,hair_straight_blond,adjective_ordering,none,distractor,3,2,hair_curly_brown,adjective_ordering,none,target,4,3,hair_straight_brown,adjective_ordering,none,distractor,2,4,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830272427,9,clickedObj,,shoe_small_pink,overinformativeness,color_sufficient,target,4,2,shoe_big_yellow,overinformativeness,color_sufficient,distractor,3,4,show_small_yellow,overinformativeness,color_sufficient,distractor,2,3,show_small_yellow,overinformativeness,color_sufficient,distractor,1,1,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
1579-7,1599830291175,10,clickedObj,,tie_small_blue,overinformativeness,color_sufficient,target,4,1,tie_small_red,overinformativeness,color_sufficient,distractor,3,3,tie_big_red,overinformativeness,color_sufficient,distractor,2,2,tie_small_red,overinformativeness,color_sufficient,distractor,1,4,Mustafa cukurova,harbiye,?order_type=random_order&last_round=
