gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
2461-4,1600182411596,1,clickedObj,,tomato,filler,none,target,3,3,pig,filler,none,distractor,4,1,horse,filler,none,distractor,1,4,fish,filler,none,distractor,2,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182420602,2,clickedObj,,elephant,filler,none,target,3,3,banana,filler,none,distractor,4,1,guitar,filler,none,distractor,2,2,bowl,filler,none,distractor,1,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182429883,3,clickedObj,,butterfly,filler,none,target,2,2,chick,filler,none,distractor,4,4,strawberry,filler,none,distractor,1,1,dog,filler,none,distractor,3,3,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182437824,4,clickedObj,,horse,filler,none,target,4,3,pig,filler,none,distractor,3,2,tomato,filler,none,distractor,1,4,fish,filler,none,distractor,2,1,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182445978,5,clickedObj,,strawberry,filler,none,target,1,3,dog,filler,none,distractor,4,4,chick,filler,none,distractor,2,1,butterfly,filler,none,distractor,3,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182454800,6,clickedObj,,pencil_short_black,adjective_ordering,none,target,3,2,pencil_short_blue,adjective_ordering,none,distractor,4,3,pencil_long_black,adjective_ordering,none,distractor,1,4,pencil_long_blue,adjective_ordering,none,distractor,2,1,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182469124,7,clickedObj,,clock_small_purple,overinformativeness,size_sufficient,target,4,2,clock_big_purple,overinformativeness,size_sufficient,distractor,2,1,clock_big_yellow,overinformativeness,size_sufficient,distractor,1,3,clock_big_purple,overinformativeness,size_sufficient,distractor,3,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182487708,8,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,4,3,man2_bearded_hatted,adjective_ordering,none,distractor,3,1,man2_mustached_glassed,adjective_ordering,none,distractor,1,4,man2_mustached_hatted,adjective_ordering,none,distractor,2,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182496757,9,clickedObj,,frog_spotted_red,adjective_ordering,none,distractor,1,3,frog_striped_green,adjective_ordering,none,distractor,4,2,frog_striped_red,adjective_ordering,none,distractor,2,4,frog_spotted_green,adjective_ordering,none,target,3,1,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182508540,10,clickedObj,,brush_small_blue,overinformativeness,size_sufficient,target,2,1,brush_big_red,overinformativeness,size_sufficient,distractor,3,4,brush_big_blue,overinformativeness,size_sufficient,distractor,4,3,brush_big_blue,overinformativeness,size_sufficient,distractor,1,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182520662,11,clickedObj,,pot_small_blue,overinformativeness,color_sufficient,target,4,1,pot_big_green,overinformativeness,color_sufficient,distractor,2,2,pot_small_green,overinformativeness,color_sufficient,distractor,1,4,pot_small_green,overinformativeness,color_sufficient,distractor,3,3,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182534911,12,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,target,3,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,1,2,lipstick_small_pink,overinformativeness,color_sufficient,distractor,2,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,4,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182545201,13,clickedObj,,skirt_small_green,overinformativeness,color_sufficient,target,2,2,skirt_small_blue,overinformativeness,color_sufficient,distractor,1,1,skirt_big_blue,overinformativeness,color_sufficient,distractor,4,4,skirt_small_blue,overinformativeness,color_sufficient,distractor,3,3,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182555313,14,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,1,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,3,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182555399,14,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,1,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,3,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,3,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182562473,16,clickedObj,,door,filler,none,distractor,3,1,carrot,filler,none,target,1,3,cow,filler,none,distractor,2,2,pitcher,filler,none,distractor,4,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182575503,17,clickedObj,,nails_black_glossy,adjective_ordering,none,distractor,4,2,nails_red_glossy,adjective_ordering,none,distractor,2,3,nails_black_matte,adjective_ordering,none,target,1,1,nails_red_matte,adjective_ordering,none,distractor,3,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182591595,18,clickedObj,,bowl,filler,none,target,1,1,guitar,filler,none,distractor,3,4,banana,filler,none,distractor,2,3,elephant,filler,none,distractor,4,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182601509,19,clickedObj,,glove_big_green,overinformativeness,size_sufficient,target,1,3,glove_small_orange,overinformativeness,size_sufficient,distractor,4,4,glove_small_green,overinformativeness,size_sufficient,distractor,3,1,glove_small_green,overinformativeness,size_sufficient,distractor,2,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182613174,20,clickedObj,,woman_old_happy,adjective_ordering,none,target,3,1,woman_young_happy,adjective_ordering,none,distractor,4,4,woman_young_sad,adjective_ordering,none,distractor,2,3,woman_old_sad,adjective_ordering,none,distractor,1,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182625483,21,clickedObj,,ball_small_purple,overinformativeness,size_sufficient,target,1,4,ball_big_purple,overinformativeness,size_sufficient,distractor,4,3,ball_big_purple,overinformativeness,size_sufficient,distractor,3,2,ball_big_yellow,overinformativeness,size_sufficient,distractor,2,1,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182635988,22,clickedObj,,socks_small_blue,overinformativeness,color_sufficient,target,3,1,socks_small_green,overinformativeness,color_sufficient,distractor,2,3,socks_big_green,overinformativeness,color_sufficient,distractor,1,4,socks_small_green,overinformativeness,color_sufficient,distractor,4,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182644910,23,clickedObj,,tshirt_small_yellow,overinformativeness,color_sufficient,target,2,1,tshirt_small_orange,overinformativeness,color_sufficient,distractor,4,2,tshirt_small_orange,overinformativeness,color_sufficient,distractor,3,3,tshirt_big_orange,overinformativeness,color_sufficient,distractor,1,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182652937,24,clickedObj,,guitar,filler,none,target,4,2,banana,filler,none,distractor,1,3,elephant,filler,none,distractor,2,1,bowl,filler,none,distractor,3,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182661372,25,clickedObj,,cat_big_white,overinformativeness,size_sufficient,target,1,1,cat_small_white,overinformativeness,size_sufficient,distractor,4,3,cat_small_black,overinformativeness,size_sufficient,distractor,3,2,cat_small_white,overinformativeness,size_sufficient,distractor,2,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182674714,26,clickedObj,,table_wood_high,adjective_ordering,none,target,3,2,table_wood_low,adjective_ordering,none,distractor,4,4,table_metal_low,adjective_ordering,none,distractor,2,1,table_metal_high,adjective_ordering,none,distractor,1,3,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182693623,27,clickedObj,,shorts_dry_red,adjective_ordering,none,target,3,3,shorts_dry_green,adjective_ordering,none,distractor,4,2,shorts_wet_green,adjective_ordering,none,distractor,1,4,shorts_wet_red,adjective_ordering,none,distractor,2,1,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182702021,28,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,4,1,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,3,2,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182712333,29,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,1,3,dress_small_green,overinformativeness,size_sufficient,distractor,3,2,dress_small_blue,overinformativeness,size_sufficient,distractor,4,1,dress_small_green,overinformativeness,size_sufficient,distractor,2,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182725866,30,clickedObj,,apple_small_red,overinformativeness,size_sufficient,target,3,1,apple_big_green,overinformativeness,size_sufficient,distractor,4,2,apple_big_red,overinformativeness,size_sufficient,distractor,1,3,apple_big_red,overinformativeness,size_sufficient,distractor,2,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182750206,31,clickedObj,,tie_small_blue,overinformativeness,color_sufficient,target,4,1,tie_small_red,overinformativeness,color_sufficient,distractor,1,4,tie_big_red,overinformativeness,color_sufficient,distractor,3,3,tie_small_red,overinformativeness,color_sufficient,distractor,2,2,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182762182,32,clickedObj,,umbrella_big_blue,overinformativeness,color_sufficient,target,1,4,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,3,umbrella_small_green,overinformativeness,color_sufficient,distractor,4,2,umbrella_big_green,overinformativeness,color_sufficient,distractor,2,1,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182773316,33,clickedObj,,woman2_sad_skinny,adjective_ordering,none,target,4,1,woman2_sad_fat,adjective_ordering,none,distractor,3,2,woman2_happy_fat,adjective_ordering,none,distractor,2,3,woman2_happy_skinny,adjective_ordering,none,distractor,1,4,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182788296,34,clickedObj,,box_open_cardboard,adjective_ordering,none,target,1,4,box_closed_wood,adjective_ordering,none,distractor,3,1,box_open_wood,adjective_ordering,none,distractor,2,2,box_closed_cardboard,adjective_ordering,none,distractor,4,3,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182798932,35,clickedObj,,bottle_glass_big,adjective_ordering,none,distractor,3,2,bottle_glass_small,adjective_ordering,none,target,2,3,bottle_plastic_big,adjective_ordering,none,distractor,1,4,bottle_plastic_small,adjective_ordering,none,distractor,4,1,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
2461-4,1600182822880,36,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,3,4,flower_big_pink,overinformativeness,size_sufficient,distractor,4,2,flower_big_pink,overinformativeness,size_sufficient,distractor,1,1,flower_big_yellow,overinformativeness,size_sufficient,distractor,2,3,sevım_cukurovaSL,ılyas_cukurovaSL,?order_type=random_order&last_round=
