gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
7120-3,1599059626954,1,clickedObj,,tomato,filler,none,target,3,3,horse,filler,none,distractor,1,2,fish,filler,none,distractor,2,1,pig,filler,none,distractor,4,4,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059636405,2,clickedObj,,elephant,filler,none,target,3,3,bowl,filler,none,distractor,1,4,banana,filler,none,distractor,4,2,guitar,filler,none,distractor,2,1,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059651091,3,clickedObj,,butterfly,filler,none,target,2,1,chick,filler,none,distractor,4,4,strawberry,filler,none,distractor,3,3,dog,filler,none,distractor,1,2,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059659719,4,clickedObj,,horse,filler,none,target,4,1,pig,filler,none,distractor,2,2,fish,filler,none,distractor,1,4,tomato,filler,none,distractor,3,3,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059668517,5,clickedObj,,strawberry,filler,none,target,3,4,butterfly,filler,none,distractor,4,1,chick,filler,none,distractor,2,2,dog,filler,none,distractor,1,3,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059679623,6,clickedObj,,balloon_big_yellow,overinformativeness,size_sufficient,target,4,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,2,2,baloon_small_yellow,overinformativeness,size_sufficient,distractor,3,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,1,4,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059690888,7,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,3,4,ball_big_yellow,overinformativeness,size_sufficient,distractor,1,1,ball_big_yellow,overinformativeness,size_sufficient,distractor,2,2,ball_big_purple,overinformativeness,size_sufficient,distractor,4,3,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059709742,8,clickedObj,,picture_bw_rectangular,adjective_ordering,none,target,2,4,picture_colored_rectangular,adjective_ordering,none,distractor,4,2,picture_colored_square,adjective_ordering,none,distractor,1,1,picture_bw_square,adjective_ordering,none,distractor,3,3,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059719579,9,clickedObj,,banana,filler,none,target,2,2,elephant,filler,none,distractor,4,3,bowl,filler,none,distractor,3,4,guitar,filler,none,distractor,1,1,Ilknur,Fatih,?order_type=random_order&last_round=
7120-3,1599059727795,10,clickedObj,,pig,filler,none,target,4,4,horse,filler,none,distractor,3,1,fish,filler,none,distractor,2,2,tomato,filler,none,distractor,1,3,Ilknur,Fatih,?order_type=random_order&last_round=
