gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
4665-4,1599223556344,1,clickedObj,,tomato,filler,none,target,4,3,horse,filler,none,distractor,2,1,fish,filler,none,distractor,3,4,pig,filler,none,distractor,1,2,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223564349,2,clickedObj,,elephant,filler,none,target,3,2,guitar,filler,none,distractor,4,4,bowl,filler,none,distractor,1,1,banana,filler,none,distractor,2,3,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223572182,3,clickedObj,,butterfly,filler,none,target,1,2,chick,filler,none,distractor,3,1,dog,filler,none,distractor,2,4,strawberry,filler,none,distractor,4,3,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223579325,4,clickedObj,,horse,filler,none,target,4,2,pig,filler,none,distractor,1,3,tomato,filler,none,distractor,3,1,fish,filler,none,distractor,2,4,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223588453,5,clickedObj,,strawberry,filler,none,target,3,4,dog,filler,none,distractor,1,3,chick,filler,none,distractor,2,2,butterfly,filler,none,distractor,4,1,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223607504,6,clickedObj,,pencil_short_blue,adjective_ordering,none,target,4,2,pencil_long_black,adjective_ordering,none,distractor,3,4,pencil_long_blue,adjective_ordering,none,distractor,1,1,pencil_short_black,adjective_ordering,none,distractor,2,3,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223622999,7,clickedObj,,spoon_wooden_clean,adjective_ordering,none,distractor,2,1,spoon_metal_dirty,adjective_ordering,none,distractor,1,4,spoon_metal_clean,adjective_ordering,none,distractor,3,2,spoon_wooden_dirty,adjective_ordering,none,target,4,3,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223656515,8,clickedObj,,hair_curly_brown,adjective_ordering,none,target,3,4,hair_straight_blond,adjective_ordering,none,distractor,2,2,hair_curly_blonde,adjective_ordering,none,distractor,4,3,hair_straight_brown,adjective_ordering,none,distractor,1,1,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223666543,9,clickedObj,,button_small_blue,overinformativeness,size_sufficient,target,3,3,button_big_blue,overinformativeness,size_sufficient,distractor,4,1,button_big_green,overinformativeness,size_sufficient,distractor,1,2,button_big_blue,overinformativeness,size_sufficient,distractor,2,4,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
4665-4,1599223677736,10,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,1,1,bag_small_red,overinformativeness,size_sufficient,distractor,2,2,bag_small_blue,overinformativeness,size_sufficient,distractor,3,4,bag_small_red,overinformativeness,size_sufficient,distractor,4,3,duranateyzekoy,Mustafa_cekim2,?order_type=random_order&last_round=
