gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
4870-6,1599317678018,1,clickedObj,,tomato,filler,none,target,1,4,horse,filler,none,distractor,2,2,fish,filler,none,distractor,4,1,pig,filler,none,distractor,3,3,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317685492,2,clickedObj,,elephant,filler,none,target,1,2,bowl,filler,none,distractor,4,3,guitar,filler,none,distractor,3,1,banana,filler,none,distractor,2,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317691351,3,clickedObj,,butterfly,filler,none,target,3,2,strawberry,filler,none,distractor,1,4,dog,filler,none,distractor,4,3,chick,filler,none,distractor,2,1,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317697558,4,clickedObj,,horse,filler,none,target,3,2,fish,filler,none,distractor,2,1,tomato,filler,none,distractor,4,3,pig,filler,none,distractor,1,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317705485,5,clickedObj,,strawberry,filler,none,target,1,3,butterfly,filler,none,distractor,2,4,chick,filler,none,distractor,3,2,dog,filler,none,distractor,4,1,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317751725,6,clickedObj,,button_small_blue,overinformativeness,size_sufficient,target,4,3,button_big_blue,overinformativeness,size_sufficient,distractor,2,1,button_big_blue,overinformativeness,size_sufficient,distractor,1,4,button_big_green,overinformativeness,size_sufficient,distractor,3,2,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317765442,7,clickedObj,,shorts_wet_green,adjective_ordering,none,target,4,2,shorts_wet_red,adjective_ordering,none,distractor,2,3,shorts_dry_red,adjective_ordering,none,distractor,1,1,shorts_dry_green,adjective_ordering,none,distractor,3,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317773439,8,clickedObj,,frog_spotted_red,adjective_ordering,none,target,2,3,frog_striped_red,adjective_ordering,none,distractor,1,4,frog_striped_green,adjective_ordering,none,distractor,3,1,frog_spotted_green,adjective_ordering,none,distractor,4,2,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317783689,9,clickedObj,,pig,filler,none,target,2,2,horse,filler,none,distractor,4,1,fish,filler,none,distractor,1,4,tomato,filler,none,distractor,3,3,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317790425,10,clickedObj,,bowl,filler,none,target,1,3,guitar,filler,none,distractor,2,1,elephant,filler,none,distractor,4,2,banana,filler,none,distractor,3,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317796387,11,clickedObj,,chick,filler,none,target,4,3,dog,filler,none,distractor,1,2,butterfly,filler,none,distractor,2,1,strawberry,filler,none,distractor,3,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317803687,12,clickedObj,,door,filler,none,target,2,4,cow,filler,none,distractor,4,2,pitcher,filler,none,distractor,3,3,carrot,filler,none,distractor,1,1,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317817353,13,clickedObj,,man_old_bearded,adjective_ordering,none,target,3,1,man_young_cleanshaven,adjective_ordering,none,distractor,1,2,man_young_bearded,adjective_ordering,none,distractor,4,3,man_old_cleanshaven,adjective_ordering,none,distractor,2,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317825423,14,clickedObj,,apple_big_red,overinformativeness,size_sufficient,target,3,2,apple_small_green,overinformativeness,size_sufficient,distractor,2,1,apple_small_red,overinformativeness,size_sufficient,distractor,1,3,apple_small_red,overinformativeness,size_sufficient,distractor,4,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317837238,15,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,4,1,ball_small_purple,overinformativeness,size_sufficient,distractor,2,4,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,2,ball_small_purple,overinformativeness,size_sufficient,distractor,3,3,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317843576,16,clickedObj,,dog,filler,none,target,3,4,butterfly,filler,none,distractor,4,2,strawberry,filler,none,distractor,1,3,chick,filler,none,distractor,2,1,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317848546,17,clickedObj,,cow,filler,none,target,3,3,pitcher,filler,none,distractor,4,4,door,filler,none,distractor,1,2,carrot,filler,none,distractor,2,1,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317854622,18,clickedObj,,glove_small_green,overinformativeness,size_sufficient,target,4,4,glove_big_green,overinformativeness,size_sufficient,distractor,2,1,glove_big_green,overinformativeness,size_sufficient,distractor,1,3,glove_big_orange,overinformativeness,size_sufficient,distractor,3,2,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317866874,19,clickedObj,,woman_young_sad,adjective_ordering,none,target,4,4,woman_old_sad,adjective_ordering,none,distractor,1,1,woman_old_happy,adjective_ordering,none,distractor,2,2,woman_young_happy,adjective_ordering,none,distractor,3,3,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317874070,20,clickedObj,,tie_big_red,overinformativeness,color_sufficient,target,3,2,tie_big_blue,overinformativeness,color_sufficient,distractor,4,1,tie_small_blue,overinformativeness,color_sufficient,distractor,2,4,tie_big_blue,overinformativeness,color_sufficient,distractor,1,3,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317880132,21,clickedObj,,knife_big_red,overinformativeness,size_sufficient,target,3,2,knife_small_blue,overinformativeness,size_sufficient,distractor,2,3,knife_small_red,overinformativeness,size_sufficient,distractor,4,1,knife_small_red,overinformativeness,size_sufficient,distractor,1,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317886744,22,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,3,4,brush_small_blue,overinformativeness,size_sufficient,distractor,1,2,brush_small_red,overinformativeness,size_sufficient,distractor,4,1,brush_small_blue,overinformativeness,size_sufficient,distractor,2,3,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317893022,23,clickedObj,,bag_big_blue,overinformativeness,size_sufficient,target,1,1,bag_small_blue,overinformativeness,size_sufficient,distractor,2,4,bag_small_blue,overinformativeness,size_sufficient,distractor,3,2,bag_small_red,overinformativeness,size_sufficient,distractor,4,3,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317898836,24,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,4,4,pants_big_pink,overinformativeness,color_sufficient,distractor,2,2,pants_small_pink,overinformativeness,color_sufficient,distractor,3,3,pants_big_pink,overinformativeness,color_sufficient,distractor,1,1,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317906683,25,clickedObj,,clock_small_purple,overinformativeness,size_sufficient,target,1,1,clock_big_purple,overinformativeness,size_sufficient,distractor,4,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,2,2,clock_big_purple,overinformativeness,size_sufficient,distractor,3,4,aysetas,aliamca,?order_type=random_order&last_round=
4870-6,1599317916660,26,clickedObj,,box_closed_wood,adjective_ordering,none,distractor,1,1,box_closed_cardboard,adjective_ordering,none,target,4,4,box_open_cardboard,adjective_ordering,none,distractor,2,3,box_open_wood,adjective_ordering,none,distractor,3,2,aysetas,aliamca,?order_type=random_order&last_round=
