gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
1535-6,1599049779389,1,clickedObj,,tomato,filler,none,target,2,4,fish,filler,none,distractor,3,2,horse,filler,none,distractor,4,3,pig,filler,none,distractor,1,1,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049797127,2,clickedObj,,elephant,filler,none,target,3,4,banana,filler,none,distractor,1,1,guitar,filler,none,distractor,2,3,bowl,filler,none,distractor,4,2,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049809905,3,clickedObj,,butterfly,filler,none,target,4,2,chick,filler,none,distractor,2,3,strawberry,filler,none,distractor,1,4,dog,filler,none,distractor,3,1,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049822113,4,clickedObj,,horse,filler,none,target,4,4,tomato,filler,none,distractor,2,2,fish,filler,none,distractor,3,1,pig,filler,none,distractor,1,3,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049839104,5,clickedObj,,strawberry,filler,none,target,3,2,butterfly,filler,none,distractor,2,3,dog,filler,none,distractor,4,4,chick,filler,none,distractor,1,1,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049851904,6,clickedObj,,door,filler,none,target,1,3,pitcher,filler,none,distractor,3,4,cow,filler,none,distractor,2,1,carrot,filler,none,distractor,4,2,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049868702,7,clickedObj,,key_big_silver,overinformativeness,size_sufficient,distractor,2,1,key_small_gold,overinformativeness,size_sufficient,target,4,2,key_big_gold,overinformativeness,size_sufficient,distractor,3,4,key_big_gold,overinformativeness,size_sufficient,distractor,1,3,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049897828,8,clickedObj,,umbrella_big_green,overinformativeness,color_sufficient,target,2,1,umbrella_big_blue,overinformativeness,color_sufficient,distractor,4,4,umbrella_small_blue,overinformativeness,color_sufficient,distractor,1,3,umbrella_big_blue,overinformativeness,color_sufficient,distractor,3,2,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049915681,9,clickedObj,,pencil_long_black,adjective_ordering,none,distractor,4,4,pencil_short_blue,adjective_ordering,none,distractor,1,2,pencil_short_black,adjective_ordering,none,target,2,1,pencil_long_blue,adjective_ordering,none,distractor,3,3,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049940903,10,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,target,4,4,lipstick_small_pink,overinformativeness,color_sufficient,distractor,3,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,2,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,1,2,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049966688,11,clickedObj,,dress_small_green,overinformativeness,size_sufficient,target,2,2,dress_big_blue,overinformativeness,size_sufficient,distractor,3,1,dress_big_green,overinformativeness,size_sufficient,distractor,1,3,dress_big_green,overinformativeness,size_sufficient,distractor,4,4,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599049986145,12,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,2,2,clock_small_purple,overinformativeness,size_sufficient,distractor,3,4,clock_small_purple,overinformativeness,size_sufficient,distractor,1,3,clock_small_yellow,overinformativeness,size_sufficient,distractor,4,1,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599050042185,13,clickedObj,,tshirt_small_orange,overinformativeness,color_sufficient,distractor,4,1,tshirt_small_yellow,overinformativeness,color_sufficient,target,1,4,tshirt_big_orange,overinformativeness,color_sufficient,distractor,2,2,tshirt_small_orange,overinformativeness,color_sufficient,distractor,3,3,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599050138917,14,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,4,3,pot_big_green,overinformativeness,color_sufficient,distractor,2,2,pot_small_green,overinformativeness,color_sufficient,distractor,3,1,pot_big_green,overinformativeness,color_sufficient,distractor,1,4,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599050158622,15,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,1,2,tie_big_blue,overinformativeness,color_sufficient,distractor,3,3,tie_small_blue,overinformativeness,color_sufficient,distractor,4,4,tie_small_blue,overinformativeness,color_sufficient,distractor,2,1,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599050199897,16,clickedObj,,box_open_wood,adjective_ordering,none,target,2,4,box_open_cardboard,adjective_ordering,none,distractor,1,2,box_closed_cardboard,adjective_ordering,none,distractor,4,3,box_closed_wood,adjective_ordering,none,distractor,3,1,zafer,Hatice,?order_type=random_order&last_round=
1535-6,1599050214088,17,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,1,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,4,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,3,1,zafer,Hatice,?order_type=random_order&last_round=
