gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
3434-9,1599063894731,1,clickedObj,,tomato,filler,none,target,3,2,fish,filler,none,distractor,1,4,horse,filler,none,distractor,2,1,pig,filler,none,distractor,4,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063902184,2,clickedObj,,elephant,filler,none,target,2,3,guitar,filler,none,distractor,4,4,bowl,filler,none,distractor,1,1,banana,filler,none,distractor,3,2,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063909149,3,clickedObj,,butterfly,filler,none,target,3,3,chick,filler,none,distractor,2,4,dog,filler,none,distractor,4,1,strawberry,filler,none,distractor,1,2,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063915922,4,clickedObj,,horse,filler,none,target,1,4,pig,filler,none,distractor,2,3,fish,filler,none,distractor,4,1,tomato,filler,none,distractor,3,2,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063922129,5,clickedObj,,strawberry,filler,none,target,4,4,chick,filler,none,distractor,1,2,dog,filler,none,distractor,2,3,butterfly,filler,none,distractor,3,1,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063935404,6,clickedObj,,skirt_small_blue,overinformativeness,color_sufficient,target,2,1,skirt_small_green,overinformativeness,color_sufficient,distractor,3,4,skirt_big_green,overinformativeness,color_sufficient,distractor,1,2,skirt_small_green,overinformativeness,color_sufficient,distractor,4,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063943828,7,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,target,2,4,knife_big_red,overinformativeness,size_sufficient,distractor,4,3,knife_big_blue,overinformativeness,size_sufficient,distractor,3,2,knife_big_blue,overinformativeness,size_sufficient,distractor,1,1,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063954003,8,clickedObj,,lock_small_gold,overinformativeness,color_sufficient,target,1,1,lock_small_silver,overinformativeness,color_sufficient,distractor,3,4,lock_big_silver,overinformativeness,color_sufficient,distractor,2,2,lock_small_silver,overinformativeness,color_sufficient,distractor,4,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063963071,9,clickedObj,,tshirt_big_orange,overinformativeness,color_sufficient,target,4,4,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,3,2,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,2,1,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,1,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063971423,10,clickedObj,,apple_big_red,overinformativeness,size_sufficient,target,1,3,apple_small_green,overinformativeness,size_sufficient,distractor,3,1,apple_small_red,overinformativeness,size_sufficient,distractor,2,2,apple_small_red,overinformativeness,size_sufficient,distractor,4,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063982200,11,clickedObj,,balloon_big_yellow,overinformativeness,size_sufficient,target,3,2,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,1,4,baloon_small_pink,overinformativeness,size_sufficient,distractor,2,1,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063990088,12,clickedObj,,banana,filler,none,target,4,1,bowl,filler,none,distractor,2,2,guitar,filler,none,distractor,3,3,elephant,filler,none,distractor,1,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599063998458,13,clickedObj,,button_small_green,overinformativeness,size_sufficient,target,3,1,button_big_green,overinformativeness,size_sufficient,distractor,1,2,button_big_green,overinformativeness,size_sufficient,distractor,4,3,button_big_blue,overinformativeness,size_sufficient,distractor,2,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064009873,14,clickedObj,,frog_striped_green,adjective_ordering,none,target,4,4,frog_spotted_red,adjective_ordering,none,distractor,2,2,frog_striped_red,adjective_ordering,none,distractor,1,1,frog_spotted_green,adjective_ordering,none,distractor,3,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064017614,15,clickedObj,,pot_small_green,overinformativeness,color_sufficient,target,1,1,pot_big_blue,overinformativeness,color_sufficient,distractor,2,3,pot_small_blue,overinformativeness,color_sufficient,distractor,3,2,pot_small_blue,overinformativeness,color_sufficient,distractor,4,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064029788,16,clickedObj,,earring_small_round,adjective_ordering,none,distractor,4,4,earring_big_round,adjective_ordering,none,distractor,3,3,earring_big_triangular,adjective_ordering,none,distractor,2,2,earring_small_triangular,adjective_ordering,none,target,1,1,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064054923,17,clickedObj,,spoon_metal_clean,adjective_ordering,none,target,4,1,spoon_wooden_dirty,adjective_ordering,none,distractor,1,3,spoon_metal_dirty,adjective_ordering,none,distractor,2,2,spoon_wooden_clean,adjective_ordering,none,distractor,3,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064072173,18,clickedObj,,man2_mustached_glassed,adjective_ordering,none,target,3,1,man2_bearded_hatted,adjective_ordering,none,distractor,4,4,man2_mustached_hatted,adjective_ordering,none,distractor,1,2,man2_bearded_glassed,adjective_ordering,none,distractor,2,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064093169,19,clickedObj,,nails_black_matte,adjective_ordering,none,target,4,4,nails_red_glossy,adjective_ordering,none,distractor,3,1,nails_red_matte,adjective_ordering,none,distractor,2,2,nails_black_glossy,adjective_ordering,none,distractor,1,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064103827,20,clickedObj,,pencil_short_black,adjective_ordering,none,target,4,4,pencil_short_blue,adjective_ordering,none,distractor,1,2,pencil_long_black,adjective_ordering,none,distractor,3,1,pencil_long_blue,adjective_ordering,none,distractor,2,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064119815,21,clickedObj,,bottle_glass_big,adjective_ordering,none,target,1,2,bottle_glass_small,adjective_ordering,none,distractor,4,1,bottle_plastic_big,adjective_ordering,none,distractor,2,3,bottle_plastic_small,adjective_ordering,none,distractor,3,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064136762,22,clickedObj,,box_closed_cardboard,adjective_ordering,none,target,2,2,box_closed_wood,adjective_ordering,none,distractor,1,4,box_open_wood,adjective_ordering,none,distractor,4,1,box_open_cardboard,adjective_ordering,none,distractor,3,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064146492,23,clickedObj,,toothbrush_small_purple,overinformativeness,color_sufficient,target,2,1,toothbrush_small_green,overinformativeness,color_sufficient,distractor,4,2,toothbrush_big_green,overinformativeness,color_sufficient,distractor,3,3,toothbrush_small_green,overinformativeness,color_sufficient,distractor,1,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064167306,24,clickedObj,,umbrella_big_blue,overinformativeness,color_sufficient,target,4,1,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,4,umbrella_big_green,overinformativeness,color_sufficient,distractor,1,2,umbrella_small_green,overinformativeness,color_sufficient,distractor,2,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064187542,25,clickedObj,,table_wood_low,adjective_ordering,none,target,1,1,table_metal_low,adjective_ordering,none,distractor,2,3,table_wood_high,adjective_ordering,none,distractor,3,4,table_metal_high,adjective_ordering,none,distractor,4,2,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064199647,26,clickedObj,,glasses_big_red,overinformativeness,size_sufficient,target,4,2,glasses_small_red,overinformativeness,size_sufficient,distractor,1,4,glasses_small_red,overinformativeness,size_sufficient,distractor,3,3,glasses_small_blue,overinformativeness,size_sufficient,distractor,2,1,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064209986,27,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,4,1,pepper_small_red,overinformativeness,color_sufficient,distractor,2,3,pepper_big_red,overinformativeness,color_sufficient,distractor,3,2,pepper_small_red,overinformativeness,color_sufficient,distractor,1,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064218166,28,clickedObj,,car_big_green,overinformativeness,size_sufficient,target,3,3,car_small_green,overinformativeness,size_sufficient,distractor,4,4,car_small_blue,overinformativeness,size_sufficient,distractor,2,2,car_small_green,overinformativeness,size_sufficient,distractor,1,1,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064257546,29,clickedObj,,man_old_bearded,adjective_ordering,none,target,1,4,man_young_bearded,adjective_ordering,none,distractor,3,1,man_young_cleanshaven,adjective_ordering,none,distractor,2,3,man_old_cleanshaven,adjective_ordering,none,distractor,4,2,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064273842,30,clickedObj,,woman_old_happy,adjective_ordering,none,target,1,1,woman_young_sad,adjective_ordering,none,distractor,2,2,woman_old_sad,adjective_ordering,none,distractor,3,3,woman_young_happy,adjective_ordering,none,distractor,4,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064282834,31,clickedObj,,key_small_gold,overinformativeness,size_sufficient,target,2,4,key_big_gold,overinformativeness,size_sufficient,distractor,1,1,key_big_silver,overinformativeness,size_sufficient,distractor,4,3,key_big_gold,overinformativeness,size_sufficient,distractor,3,2,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064291637,32,clickedObj,,tie_big_red,overinformativeness,color_sufficient,target,3,3,tie_small_blue,overinformativeness,color_sufficient,distractor,2,4,tie_big_blue,overinformativeness,color_sufficient,distractor,4,2,tie_big_blue,overinformativeness,color_sufficient,distractor,1,1,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064299974,33,clickedObj,,chick,filler,none,target,3,4,strawberry,filler,none,distractor,2,2,butterfly,filler,none,distractor,1,1,dog,filler,none,distractor,4,3,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064308056,34,clickedObj,,cow,filler,none,target,1,1,door,filler,none,distractor,2,3,pitcher,filler,none,distractor,4,2,carrot,filler,none,distractor,3,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064316375,35,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,target,4,2,dress_big_green,overinformativeness,size_sufficient,distractor,3,3,dress_big_blue,overinformativeness,size_sufficient,distractor,1,1,dress_big_blue,overinformativeness,size_sufficient,distractor,2,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064324544,36,clickedObj,,pants_small_green,overinformativeness,color_sufficient,target,2,2,pants_small_pink,overinformativeness,color_sufficient,distractor,4,3,pants_small_pink,overinformativeness,color_sufficient,distractor,1,1,pants_big_pink,overinformativeness,color_sufficient,distractor,3,4,hatice,Ayşe,?order_type=random_order&last_round=
3434-9,1599064332263,37,clickedObj,,scissors_big_green,overinformativeness,color_sufficient,target,4,3,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,4,scissors_big_blue,overinformativeness,color_sufficient,distractor,3,1,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,2,hatice,Ayşe,?order_type=random_order&last_round=
