gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
5082-3,1599119775570,1,clickedObj,,tomato,filler,none,target,3,3,pig,filler,none,distractor,1,2,fish,filler,none,distractor,4,1,horse,filler,none,distractor,2,4,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119784828,2,clickedObj,,elephant,filler,none,target,3,1,guitar,filler,none,distractor,2,3,banana,filler,none,distractor,4,2,bowl,filler,none,distractor,1,4,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119792582,3,clickedObj,,chick,filler,none,distractor,3,3,dog,filler,none,distractor,2,4,strawberry,filler,none,distractor,1,1,butterfly,filler,none,target,4,2,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119801666,4,clickedObj,,horse,filler,none,target,4,3,fish,filler,none,distractor,3,4,pig,filler,none,distractor,1,2,tomato,filler,none,distractor,2,1,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119811439,5,clickedObj,,strawberry,filler,none,target,3,1,dog,filler,none,distractor,4,3,chick,filler,none,distractor,1,2,butterfly,filler,none,distractor,2,4,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119828609,6,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,distractor,4,1,clock_big_purple,overinformativeness,size_sufficient,distractor,3,3,clock_small_purple,overinformativeness,size_sufficient,target,1,4,clock_big_yellow,overinformativeness,size_sufficient,distractor,2,2,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119840001,7,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,distractor,3,3,pepper_big_red,overinformativeness,color_sufficient,distractor,1,4,pepper_big_green,overinformativeness,color_sufficient,target,4,2,pepper_small_red,overinformativeness,color_sufficient,distractor,2,1,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119852648,8,clickedObj,,man2_mustached_hatted,adjective_ordering,none,target,3,1,man2_bearded_hatted,adjective_ordering,none,distractor,2,4,man2_bearded_glassed,adjective_ordering,none,distractor,4,3,man2_mustached_glassed,adjective_ordering,none,distractor,1,2,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119869725,9,clickedObj,,pot_small_green,overinformativeness,color_sufficient,target,4,1,pot_big_blue,overinformativeness,color_sufficient,distractor,2,2,pot_small_blue,overinformativeness,color_sufficient,distractor,1,3,pot_small_blue,overinformativeness,color_sufficient,distractor,3,4,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119885107,10,clickedObj,,glasses_small_blue,overinformativeness,size_sufficient,target,2,2,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,3,glasses_big_red,overinformativeness,size_sufficient,distractor,1,1,glasses_big_blue,overinformativeness,size_sufficient,distractor,4,4,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119894549,11,clickedObj,,bottle_glass_big,adjective_ordering,none,target,1,1,bottle_plastic_big,adjective_ordering,none,distractor,3,3,bottle_plastic_small,adjective_ordering,none,distractor,2,4,bottle_glass_small,adjective_ordering,none,distractor,4,2,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119910136,12,clickedObj,,nails_black_matte,adjective_ordering,none,target,3,1,nails_red_matte,adjective_ordering,none,distractor,2,3,nails_black_glossy,adjective_ordering,none,distractor,4,4,nails_red_glossy,adjective_ordering,none,distractor,1,2,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119918483,13,clickedObj,,cow,filler,none,target,3,1,pitcher,filler,none,distractor,4,3,carrot,filler,none,distractor,1,2,door,filler,none,distractor,2,4,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119930472,14,clickedObj,,button_big_blue,overinformativeness,size_sufficient,distractor,3,4,button_big_green,overinformativeness,size_sufficient,distractor,2,3,button_big_green,overinformativeness,size_sufficient,distractor,1,1,button_small_green,overinformativeness,size_sufficient,target,4,2,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119946104,15,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,4,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,2,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,2,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119960864,16,clickedObj,,table_wood_high,adjective_ordering,none,target,3,2,table_metal_high,adjective_ordering,none,distractor,1,1,table_wood_low,adjective_ordering,none,distractor,2,4,table_metal_low,adjective_ordering,none,distractor,4,3,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119971498,17,clickedObj,,glove_big_green,overinformativeness,size_sufficient,distractor,2,1,glove_big_orange,overinformativeness,size_sufficient,distractor,3,2,glove_big_green,overinformativeness,size_sufficient,distractor,4,4,glove_small_green,overinformativeness,size_sufficient,target,1,3,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
5082-3,1599119990535,18,clickedObj,,hair_straight_brown,adjective_ordering,none,distractor,4,2,hair_curly_brown,adjective_ordering,none,distractor,2,3,hair_curly_blonde,adjective_ordering,none,distractor,1,1,hair_straight_blond,adjective_ordering,none,target,3,4,Mustafa (ctsl),hamza,?order_type=random_order&last_round=
