gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
9458-d,1599122091856,1,clickedObj,,tomato,filler,none,target,1,3,pig,filler,none,distractor,2,2,horse,filler,none,distractor,3,4,fish,filler,none,distractor,4,1,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122106286,2,clickedObj,,elephant,filler,none,target,4,3,guitar,filler,none,distractor,3,1,banana,filler,none,distractor,2,4,bowl,filler,none,distractor,1,2,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122116810,3,clickedObj,,butterfly,filler,none,target,4,2,chick,filler,none,distractor,2,4,dog,filler,none,distractor,3,3,strawberry,filler,none,distractor,1,1,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122125660,4,clickedObj,,horse,filler,none,target,1,3,pig,filler,none,distractor,2,2,fish,filler,none,distractor,4,4,tomato,filler,none,distractor,3,1,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122138239,5,clickedObj,,strawberry,filler,none,target,1,2,butterfly,filler,none,distractor,3,4,dog,filler,none,distractor,2,1,chick,filler,none,distractor,4,3,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122165223,6,clickedObj,,table_metal_high,adjective_ordering,none,distractor,3,3,table_metal_low,adjective_ordering,none,distractor,1,1,table_wood_high,adjective_ordering,none,target,4,2,table_wood_low,adjective_ordering,none,distractor,2,4,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122182865,7,clickedObj,,box_closed_cardboard,adjective_ordering,none,distractor,3,3,box_open_cardboard,adjective_ordering,none,distractor,4,1,box_open_wood,adjective_ordering,none,distractor,2,2,box_closed_wood,adjective_ordering,none,target,1,4,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122199888,8,clickedObj,,dog,filler,none,target,1,3,chick,filler,none,distractor,3,1,strawberry,filler,none,distractor,2,2,butterfly,filler,none,distractor,4,4,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122214249,9,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,1,3,man2_bearded_hatted,adjective_ordering,none,distractor,4,1,man2_mustached_glassed,adjective_ordering,none,distractor,2,4,man2_mustached_hatted,adjective_ordering,none,distractor,3,2,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
9458-d,1599122227958,10,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,distractor,1,2,flower_big_pink,overinformativeness,size_sufficient,distractor,2,4,flower_big_pink,overinformativeness,size_sufficient,distractor,3,1,flower_small_pink,overinformativeness,size_sufficient,target,4,3,fatma teyze (ctsl),Fatih,?order_type=random_order&last_round=
