gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
0722-5,1599149268559,1,clickedObj,,tomato,filler,none,target,4,3,pig,filler,none,distractor,2,2,fish,filler,none,distractor,3,4,horse,filler,none,distractor,1,1,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149276581,2,clickedObj,,elephant,filler,none,target,4,4,banana,filler,none,distractor,1,1,bowl,filler,none,distractor,3,3,guitar,filler,none,distractor,2,2,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149285489,3,clickedObj,,butterfly,filler,none,target,3,2,strawberry,filler,none,distractor,4,4,dog,filler,none,distractor,1,3,chick,filler,none,distractor,2,1,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149294346,4,clickedObj,,horse,filler,none,target,1,3,pig,filler,none,distractor,2,1,fish,filler,none,distractor,4,2,tomato,filler,none,distractor,3,4,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149303016,5,clickedObj,,strawberry,filler,none,target,1,2,butterfly,filler,none,distractor,3,1,dog,filler,none,distractor,4,3,chick,filler,none,distractor,2,4,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149326888,6,clickedObj,,nails_red_glossy,adjective_ordering,none,target,4,3,nails_red_matte,adjective_ordering,none,distractor,2,4,nails_black_matte,adjective_ordering,none,distractor,1,1,nails_black_glossy,adjective_ordering,none,distractor,3,2,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149342193,7,clickedObj,,skirt_big_green,overinformativeness,color_sufficient,target,3,1,skirt_small_blue,overinformativeness,color_sufficient,distractor,4,3,skirt_big_blue,overinformativeness,color_sufficient,distractor,2,2,skirt_big_blue,overinformativeness,color_sufficient,distractor,1,4,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149358407,8,clickedObj,,clock_small_purple,overinformativeness,size_sufficient,distractor,3,1,clock_big_purple,overinformativeness,size_sufficient,target,2,2,clock_small_yellow,overinformativeness,size_sufficient,distractor,1,4,clock_small_purple,overinformativeness,size_sufficient,distractor,4,3,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149368733,9,clickedObj,,banana,filler,none,target,4,1,guitar,filler,none,distractor,2,3,bowl,filler,none,distractor,3,2,elephant,filler,none,distractor,1,4,durana teyze ctsl,asiye,?order_type=random_order&last_round=
0722-5,1599149383347,10,clickedObj,,tshirt_big_orange,overinformativeness,color_sufficient,target,3,2,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,1,1,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,2,4,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,4,3,durana teyze ctsl,asiye,?order_type=random_order&last_round=
