gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
0881-8,1599292543289,1,clickedObj,,tomato,filler,none,target,4,1,pig,filler,none,distractor,3,3,horse,filler,none,distractor,2,2,fish,filler,none,distractor,1,4,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292558779,2,clickedObj,,elephant,filler,none,target,1,2,guitar,filler,none,distractor,4,4,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,2,1,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292576359,3,clickedObj,,butterfly,filler,none,target,2,1,dog,filler,none,distractor,1,4,strawberry,filler,none,distractor,4,3,chick,filler,none,distractor,3,2,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292587539,4,clickedObj,,horse,filler,none,target,4,4,tomato,filler,none,distractor,1,3,pig,filler,none,distractor,3,2,fish,filler,none,distractor,2,1,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292602919,5,clickedObj,,strawberry,filler,none,target,2,2,dog,filler,none,distractor,1,3,butterfly,filler,none,distractor,4,4,chick,filler,none,distractor,3,1,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292646292,6,clickedObj,,lock_big_gold,overinformativeness,color_sufficient,target,3,4,lock_small_silver,overinformativeness,color_sufficient,distractor,4,2,lock_big_silver,overinformativeness,color_sufficient,distractor,2,3,lock_big_silver,overinformativeness,color_sufficient,distractor,1,1,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292667477,7,clickedObj,,cat_big_white,overinformativeness,size_sufficient,target,1,1,cat_small_white,overinformativeness,size_sufficient,distractor,4,2,cat_small_black,overinformativeness,size_sufficient,distractor,3,3,cat_small_white,overinformativeness,size_sufficient,distractor,2,4,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292680007,8,clickedObj,,cow,filler,none,target,3,3,carrot,filler,none,distractor,1,4,door,filler,none,distractor,2,1,pitcher,filler,none,distractor,4,2,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292695271,9,clickedObj,,woman_old_sad,adjective_ordering,none,distractor,1,1,woman_young_sad,adjective_ordering,none,distractor,2,4,woman_young_happy,adjective_ordering,none,distractor,3,2,woman_old_happy,adjective_ordering,none,target,4,3,duranatasoluk,Mustafa,?order_type=random_order&last_round=
0881-8,1599292703019,10,clickedObj,,door,filler,none,target,4,4,pitcher,filler,none,distractor,3,2,cow,filler,none,distractor,2,3,carrot,filler,none,distractor,1,1,duranatasoluk,Mustafa,?order_type=random_order&last_round=
