gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
0031-a,1599313122332,1,clickedObj,,tomato,filler,none,target,4,1,horse,filler,none,distractor,2,4,pig,filler,none,distractor,1,3,fish,filler,none,distractor,3,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313131042,2,clickedObj,,elephant,filler,none,target,4,4,guitar,filler,none,distractor,2,3,bowl,filler,none,distractor,1,1,banana,filler,none,distractor,3,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313138261,3,clickedObj,,butterfly,filler,none,target,2,1,chick,filler,none,distractor,1,2,dog,filler,none,distractor,3,4,strawberry,filler,none,distractor,4,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313145794,4,clickedObj,,horse,filler,none,target,2,3,tomato,filler,none,distractor,3,1,pig,filler,none,distractor,1,2,fish,filler,none,distractor,4,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313152523,5,clickedObj,,strawberry,filler,none,target,3,3,dog,filler,none,distractor,1,4,butterfly,filler,none,distractor,2,1,chick,filler,none,distractor,4,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313170536,6,clickedObj,,dress_small_green,overinformativeness,size_sufficient,target,1,3,dress_big_blue,overinformativeness,size_sufficient,distractor,3,2,dress_big_green,overinformativeness,size_sufficient,distractor,4,4,dress_big_green,overinformativeness,size_sufficient,distractor,2,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313181314,7,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,4,2,apple_big_red,overinformativeness,size_sufficient,distractor,3,3,apple_big_green,overinformativeness,size_sufficient,distractor,2,1,apple_big_green,overinformativeness,size_sufficient,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313198376,8,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,1,2,man2_mustached_glassed,adjective_ordering,none,distractor,2,4,man2_mustached_hatted,adjective_ordering,none,distractor,4,3,man2_bearded_hatted,adjective_ordering,none,distractor,3,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313206864,9,clickedObj,,hair_curly_blonde,adjective_ordering,none,target,1,4,hair_straight_brown,adjective_ordering,none,distractor,2,3,hair_straight_blond,adjective_ordering,none,distractor,4,1,hair_curly_brown,adjective_ordering,none,distractor,3,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313216618,10,clickedObj,,table_metal_high,adjective_ordering,none,target,1,4,table_wood_low,adjective_ordering,none,distractor,2,3,table_metal_low,adjective_ordering,none,distractor,3,2,table_wood_high,adjective_ordering,none,distractor,4,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313224637,11,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,1,2,pepper_big_green,overinformativeness,color_sufficient,distractor,4,1,pepper_small_green,overinformativeness,color_sufficient,distractor,3,4,pepper_big_green,overinformativeness,color_sufficient,distractor,2,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313234158,12,clickedObj,,glasses_big_red,overinformativeness,size_sufficient,target,1,1,glasses_small_blue,overinformativeness,size_sufficient,distractor,3,2,glasses_small_red,overinformativeness,size_sufficient,distractor,4,3,glasses_small_red,overinformativeness,size_sufficient,distractor,2,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313247084,13,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,2,3,ball_big_purple,overinformativeness,size_sufficient,distractor,4,1,ball_big_yellow,overinformativeness,size_sufficient,distractor,3,4,ball_big_yellow,overinformativeness,size_sufficient,distractor,1,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313270242,14,clickedObj,,woman2_sad_skinny,adjective_ordering,none,target,2,3,woman2_happy_skinny,adjective_ordering,none,distractor,1,2,woman2_happy_fat,adjective_ordering,none,distractor,4,1,woman2_sad_fat,adjective_ordering,none,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313278342,15,clickedObj,,lighter_small_white,overinformativeness,color_sufficient,target,1,4,lighter_small_black,overinformativeness,color_sufficient,distractor,3,2,lighter_big_black,overinformativeness,color_sufficient,distractor,2,1,lighter_small_black,overinformativeness,color_sufficient,distractor,4,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313297460,16,clickedObj,,man_young_cleanshaven,adjective_ordering,none,distractor,3,4,man_young_bearded,adjective_ordering,none,distractor,4,3,man_old_bearded,adjective_ordering,none,distractor,1,2,man_old_cleanshaven,adjective_ordering,none,target,2,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313306781,17,clickedObj,,pot_big_green,overinformativeness,color_sufficient,target,4,3,pot_big_blue,overinformativeness,color_sufficient,distractor,2,2,pot_big_blue,overinformativeness,color_sufficient,distractor,3,4,pot_small_blue,overinformativeness,color_sufficient,distractor,1,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313316795,18,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,1,1,button_small_blue,overinformativeness,size_sufficient,distractor,4,2,button_small_blue,overinformativeness,size_sufficient,distractor,2,3,button_small_green,overinformativeness,size_sufficient,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313339003,19,clickedObj,,clock_small_purple,overinformativeness,size_sufficient,target,3,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,4,2,clock_big_purple,overinformativeness,size_sufficient,distractor,1,4,clock_big_purple,overinformativeness,size_sufficient,distractor,2,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313347204,20,clickedObj,,knife_small_red,overinformativeness,size_sufficient,target,3,4,knife_big_red,overinformativeness,size_sufficient,distractor,1,1,knife_big_red,overinformativeness,size_sufficient,distractor,2,2,knife_big_blue,overinformativeness,size_sufficient,distractor,4,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313355869,21,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,4,2,tie_big_blue,overinformativeness,color_sufficient,distractor,1,3,tie_small_blue,overinformativeness,color_sufficient,distractor,2,4,tie_small_blue,overinformativeness,color_sufficient,distractor,3,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313363994,22,clickedObj,,umbrella_big_blue,overinformativeness,color_sufficient,target,2,2,umbrella_big_green,overinformativeness,color_sufficient,distractor,4,4,umbrella_big_green,overinformativeness,color_sufficient,distractor,1,3,umbrella_small_green,overinformativeness,color_sufficient,distractor,3,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313399338,23,clickedObj,,spoon_wooden_clean,adjective_ordering,none,target,4,2,spoon_metal_dirty,adjective_ordering,none,distractor,1,4,spoon_metal_clean,adjective_ordering,none,distractor,3,3,spoon_wooden_dirty,adjective_ordering,none,distractor,2,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313425548,24,clickedObj,,shorts_wet_red,adjective_ordering,none,target,4,4,shorts_dry_green,adjective_ordering,none,distractor,1,3,shorts_wet_green,adjective_ordering,none,distractor,2,1,shorts_dry_red,adjective_ordering,none,distractor,3,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313433925,25,clickedObj,,chick,filler,none,target,2,2,butterfly,filler,none,distractor,4,3,dog,filler,none,distractor,3,1,strawberry,filler,none,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313441475,26,clickedObj,,tshirt_big_yellow,overinformativeness,color_sufficient,target,2,1,tshirt_big_orange,overinformativeness,color_sufficient,distractor,1,3,tshirt_big_orange,overinformativeness,color_sufficient,distractor,4,2,tshirt_small_orange,overinformativeness,color_sufficient,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313471296,27,clickedObj,,brush_big_red,overinformativeness,size_sufficient,target,1,2,brush_small_blue,overinformativeness,size_sufficient,distractor,4,3,brush_small_red,overinformativeness,size_sufficient,distractor,2,1,brush_small_red,overinformativeness,size_sufficient,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313485840,28,clickedObj,,box_closed_wood,adjective_ordering,none,target,1,4,box_closed_cardboard,adjective_ordering,none,distractor,2,1,box_open_wood,adjective_ordering,none,distractor,4,3,box_open_cardboard,adjective_ordering,none,distractor,3,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313492630,29,clickedObj,,skirt_small_green,overinformativeness,color_sufficient,target,3,2,skirt_big_blue,overinformativeness,color_sufficient,distractor,1,1,skirt_small_blue,overinformativeness,color_sufficient,distractor,4,3,skirt_small_blue,overinformativeness,color_sufficient,distractor,2,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313500900,30,clickedObj,,socks_big_blue,overinformativeness,color_sufficient,target,4,2,socks_big_green,overinformativeness,color_sufficient,distractor,2,3,socks_small_green,overinformativeness,color_sufficient,distractor,1,1,socks_big_green,overinformativeness,color_sufficient,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313507357,31,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,2,2,scissors_small_blue,overinformativeness,color_sufficient,distractor,3,1,scissors_big_blue,overinformativeness,color_sufficient,distractor,4,4,scissors_small_blue,overinformativeness,color_sufficient,distractor,1,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313515533,32,clickedObj,,glove_small_orange,overinformativeness,size_sufficient,target,4,1,glove_big_orange,overinformativeness,size_sufficient,distractor,3,3,glove_big_green,overinformativeness,size_sufficient,distractor,2,2,glove_big_orange,overinformativeness,size_sufficient,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313521550,33,clickedObj,,lock_small_gold,overinformativeness,color_sufficient,target,4,4,lock_big_silver,overinformativeness,color_sufficient,distractor,1,1,lock_small_silver,overinformativeness,color_sufficient,distractor,3,3,lock_small_silver,overinformativeness,color_sufficient,distractor,2,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313544842,34,clickedObj,,bottle_plastic_big,adjective_ordering,none,target,4,3,bottle_glass_big,adjective_ordering,none,distractor,3,2,bottle_glass_small,adjective_ordering,none,distractor,2,1,bottle_plastic_small,adjective_ordering,none,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313556399,35,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,3,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,1,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,4,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313564820,36,clickedObj,,carrot,filler,none,target,4,3,cow,filler,none,distractor,1,1,pitcher,filler,none,distractor,3,4,door,filler,none,distractor,2,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313573894,37,clickedObj,,fish,filler,none,target,3,3,tomato,filler,none,distractor,1,4,horse,filler,none,distractor,2,1,pig,filler,none,distractor,4,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313579601,38,clickedObj,,banana,filler,none,target,4,2,guitar,filler,none,distractor,3,3,elephant,filler,none,distractor,2,1,bowl,filler,none,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313587570,39,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,4,4,flower_big_pink,overinformativeness,size_sufficient,distractor,3,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,1,3,flower_big_pink,overinformativeness,size_sufficient,distractor,2,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313594548,40,clickedObj,,bowl,filler,none,target,2,2,elephant,filler,none,distractor,1,1,banana,filler,none,distractor,3,3,guitar,filler,none,distractor,4,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313607393,41,clickedObj,,pencil_short_black,adjective_ordering,none,target,1,3,pencil_long_black,adjective_ordering,none,distractor,4,2,pencil_long_blue,adjective_ordering,none,distractor,2,1,pencil_short_blue,adjective_ordering,none,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313623222,42,clickedObj,,earring_big_triangular,adjective_ordering,none,target,4,2,earring_big_round,adjective_ordering,none,distractor,3,1,earring_small_round,adjective_ordering,none,distractor,2,3,earring_small_triangular,adjective_ordering,none,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313631184,43,clickedObj,,dog,filler,none,target,1,2,butterfly,filler,none,distractor,4,1,strawberry,filler,none,distractor,2,4,chick,filler,none,distractor,3,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313639693,44,clickedObj,,guitar,filler,none,target,3,4,banana,filler,none,distractor,4,3,elephant,filler,none,distractor,2,2,bowl,filler,none,distractor,1,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313648934,45,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,3,1,bag_big_blue,overinformativeness,size_sufficient,distractor,2,2,bag_big_red,overinformativeness,size_sufficient,distractor,4,3,bag_big_blue,overinformativeness,size_sufficient,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313675203,46,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,1,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,3,4,lipstick_small_pink,overinformativeness,color_sufficient,distractor,4,1,lipstick_big_pink,overinformativeness,color_sufficient,distractor,2,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313683259,47,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,target,2,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,2,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,3,4,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,4,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313690740,48,clickedObj,,car_small_green,overinformativeness,size_sufficient,target,2,3,car_big_green,overinformativeness,size_sufficient,distractor,1,1,car_big_green,overinformativeness,size_sufficient,distractor,3,2,car_big_blue,overinformativeness,size_sufficient,distractor,4,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313698427,49,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,target,3,4,balloon_big_yellow,overinformativeness,size_sufficient,distractor,4,3,balloon_big_yellow,overinformativeness,size_sufficient,distractor,1,2,balloon_big_pink,overinformativeness,size_sufficient,distractor,2,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313713594,50,clickedObj,,woman_old_happy,adjective_ordering,none,distractor,1,3,woman_young_sad,adjective_ordering,none,distractor,4,1,woman_young_happy,adjective_ordering,none,target,2,4,woman_old_sad,adjective_ordering,none,distractor,3,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313734342,51,clickedObj,,pig,filler,none,target,2,1,fish,filler,none,distractor,4,3,horse,filler,none,distractor,1,2,tomato,filler,none,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313746732,52,clickedObj,,chair_small_blue,overinformativeness,size_sufficient,target,2,3,chair_big_blue,overinformativeness,size_sufficient,distractor,1,2,chair_big_blue,overinformativeness,size_sufficient,distractor,4,1,chair_big_yellow,overinformativeness,size_sufficient,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313755657,53,clickedObj,,key_small_silver,overinformativeness,size_sufficient,target,4,3,key_big_silver,overinformativeness,size_sufficient,distractor,2,1,key_big_gold,overinformativeness,size_sufficient,distractor,1,4,key_big_silver,overinformativeness,size_sufficient,distractor,3,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313771346,54,clickedObj,,frog_spotted_green,adjective_ordering,none,target,3,1,frog_striped_red,adjective_ordering,none,distractor,1,4,frog_spotted_red,adjective_ordering,none,distractor,2,3,frog_striped_green,adjective_ordering,none,distractor,4,2,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313779603,55,clickedObj,,pants_small_pink,overinformativeness,color_sufficient,target,1,2,pants_small_green,overinformativeness,color_sufficient,distractor,2,3,pants_small_green,overinformativeness,color_sufficient,distractor,4,4,pants_big_green,overinformativeness,color_sufficient,distractor,3,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313813548,56,clickedObj,,nails_black_matte,adjective_ordering,none,target,2,4,nails_red_glossy,adjective_ordering,none,distractor,1,2,nails_red_matte,adjective_ordering,none,distractor,4,3,nails_black_glossy,adjective_ordering,none,distractor,3,1,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313819553,57,clickedObj,,cow,filler,none,target,1,2,carrot,filler,none,distractor,4,4,door,filler,none,distractor,2,1,pitcher,filler,none,distractor,3,3,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313826229,58,clickedObj,,cat_big_black,overinformativeness,size_sufficient,target,2,1,cat_small_black,overinformativeness,size_sufficient,distractor,1,2,cat_small_white,overinformativeness,size_sufficient,distractor,4,3,cat_small_black,overinformativeness,size_sufficient,distractor,3,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313851626,59,clickedObj,,picture_bw_square,adjective_ordering,none,target,4,3,picture_colored_square,adjective_ordering,none,distractor,3,2,picture_colored_rectangular,adjective_ordering,none,distractor,2,1,picture_bw_rectangular,adjective_ordering,none,distractor,1,4,aysetas,ayseergin,?order_type=random_order&last_round=
0031-a,1599313860195,60,clickedObj,,door,filler,none,target,3,1,pitcher,filler,none,distractor,4,2,cow,filler,none,distractor,1,4,carrot,filler,none,distractor,2,3,aysetas,ayseergin,?order_type=random_order&last_round=
