gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
2269-9,1599391104706,1,clickedObj,,tomato,filler,none,target,3,2,fish,filler,none,distractor,4,3,horse,filler,none,distractor,1,4,pig,filler,none,distractor,2,1,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391113366,2,clickedObj,,elephant,filler,none,target,2,1,banana,filler,none,distractor,1,2,guitar,filler,none,distractor,4,4,bowl,filler,none,distractor,3,3,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391125882,3,clickedObj,,butterfly,filler,none,target,3,3,dog,filler,none,distractor,2,2,chick,filler,none,distractor,1,1,strawberry,filler,none,distractor,4,4,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391134320,4,clickedObj,,horse,filler,none,target,1,4,tomato,filler,none,distractor,4,2,pig,filler,none,distractor,3,1,fish,filler,none,distractor,2,3,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391144003,5,clickedObj,,strawberry,filler,none,target,1,4,dog,filler,none,distractor,3,2,chick,filler,none,distractor,4,3,butterfly,filler,none,distractor,2,1,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391189421,6,clickedObj,,tie_big_red,overinformativeness,color_sufficient,target,4,1,tie_big_blue,overinformativeness,color_sufficient,distractor,3,4,tie_small_blue,overinformativeness,color_sufficient,distractor,1,3,tie_big_blue,overinformativeness,color_sufficient,distractor,2,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391208924,7,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,target,3,1,lipstick_big_pink,overinformativeness,color_sufficient,distractor,1,3,lipstick_small_pink,overinformativeness,color_sufficient,distractor,2,4,lipstick_small_pink,overinformativeness,color_sufficient,distractor,4,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391223139,8,clickedObj,,carrot,filler,none,target,2,3,pitcher,filler,none,distractor,4,1,door,filler,none,distractor,3,4,cow,filler,none,distractor,1,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391232674,9,clickedObj,,cat_small_black,overinformativeness,size_sufficient,target,1,2,cat_big_black,overinformativeness,size_sufficient,distractor,3,4,cat_big_black,overinformativeness,size_sufficient,distractor,4,1,cat_big_white,overinformativeness,size_sufficient,distractor,2,3,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391251274,10,clickedObj,,glasses_big_blue,overinformativeness,size_sufficient,target,1,4,glasses_small_blue,overinformativeness,size_sufficient,distractor,3,3,glasses_small_blue,overinformativeness,size_sufficient,distractor,4,1,glasses_small_red,overinformativeness,size_sufficient,distractor,2,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391271533,11,clickedObj,,lock_big_silver,overinformativeness,color_sufficient,target,3,1,lock_small_gold,overinformativeness,color_sufficient,distractor,4,4,lock_big_gold,overinformativeness,color_sufficient,distractor,2,3,lock_big_gold,overinformativeness,color_sufficient,distractor,1,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391285818,12,clickedObj,,brush_big_red,overinformativeness,size_sufficient,target,1,1,brush_small_red,overinformativeness,size_sufficient,distractor,2,4,brush_small_blue,overinformativeness,size_sufficient,distractor,4,3,brush_small_red,overinformativeness,size_sufficient,distractor,3,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391302605,13,clickedObj,,bottle_plastic_small,adjective_ordering,none,target,2,3,bottle_glass_big,adjective_ordering,none,distractor,4,4,bottle_glass_small,adjective_ordering,none,distractor,1,1,bottle_plastic_big,adjective_ordering,none,distractor,3,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391314999,14,clickedObj,,nails_red_glossy,adjective_ordering,none,distractor,3,1,nails_black_matte,adjective_ordering,none,distractor,4,4,nails_red_matte,adjective_ordering,none,target,2,2,nails_black_glossy,adjective_ordering,none,distractor,1,3,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391324963,15,clickedObj,,cow,filler,none,target,1,1,pitcher,filler,none,distractor,4,2,carrot,filler,none,distractor,3,4,door,filler,none,distractor,2,3,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391339292,16,clickedObj,,table_metal_low,adjective_ordering,none,target,4,4,table_wood_low,adjective_ordering,none,distractor,2,2,table_wood_high,adjective_ordering,none,distractor,3,3,table_metal_high,adjective_ordering,none,distractor,1,1,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391354290,17,clickedObj,,woman_young_happy,adjective_ordering,none,target,3,1,woman_old_happy,adjective_ordering,none,distractor,2,2,woman_old_sad,adjective_ordering,none,distractor,1,4,woman_young_sad,adjective_ordering,none,distractor,4,3,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391369079,18,clickedObj,,shorts_dry_red,adjective_ordering,none,target,2,4,shorts_wet_green,adjective_ordering,none,distractor,4,3,shorts_dry_green,adjective_ordering,none,distractor,1,1,shorts_wet_red,adjective_ordering,none,distractor,3,2,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391384310,19,clickedObj,,pig,filler,none,target,2,2,horse,filler,none,distractor,4,3,tomato,filler,none,distractor,1,4,fish,filler,none,distractor,3,1,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391401687,20,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,target,2,4,dress_big_blue,overinformativeness,size_sufficient,distractor,1,2,dress_big_green,overinformativeness,size_sufficient,distractor,3,3,dress_big_blue,overinformativeness,size_sufficient,distractor,4,1,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
2269-9,1599391414591,21,clickedObj,,bag_small_red,overinformativeness,size_sufficient,target,2,1,bag_big_blue,overinformativeness,size_sufficient,distractor,3,4,bag_big_red,overinformativeness,size_sufficient,distractor,4,2,bag_big_red,overinformativeness,size_sufficient,distractor,1,3,Şengül ctsl,Mustafa,?order_type=random_order&last_round=
