gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
7597-b,1599466584064,1,clickedObj,,tomato,filler,none,target,2,1,fish,filler,none,distractor,1,4,horse,filler,none,distractor,4,3,pig,filler,none,distractor,3,2,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466596888,2,clickedObj,,elephant,filler,none,target,4,2,bowl,filler,none,distractor,3,3,guitar,filler,none,distractor,2,1,banana,filler,none,distractor,1,4,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466609504,3,clickedObj,,butterfly,filler,none,target,3,1,strawberry,filler,none,distractor,4,2,dog,filler,none,distractor,1,3,chick,filler,none,distractor,2,4,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466620079,4,clickedObj,,horse,filler,none,target,3,1,pig,filler,none,distractor,4,4,tomato,filler,none,distractor,1,3,fish,filler,none,distractor,2,2,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466629499,5,clickedObj,,strawberry,filler,none,target,1,1,butterfly,filler,none,distractor,3,4,chick,filler,none,distractor,4,2,dog,filler,none,distractor,2,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466646119,6,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,3,2,apple_big_green,overinformativeness,size_sufficient,distractor,4,4,apple_big_green,overinformativeness,size_sufficient,distractor,2,3,apple_big_red,overinformativeness,size_sufficient,distractor,1,1,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466661340,7,clickedObj,,man_young_cleanshaven,adjective_ordering,none,target,2,2,man_young_bearded,adjective_ordering,none,distractor,1,4,man_old_bearded,adjective_ordering,none,distractor,4,1,man_old_cleanshaven,adjective_ordering,none,distractor,3,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466673399,8,clickedObj,,frog_spotted_red,adjective_ordering,none,distractor,4,2,frog_spotted_green,adjective_ordering,none,distractor,2,3,frog_striped_green,adjective_ordering,none,target,3,4,frog_striped_red,adjective_ordering,none,distractor,1,1,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466689041,9,clickedObj,,brush_small_red,overinformativeness,size_sufficient,distractor,2,2,brush_small_red,overinformativeness,size_sufficient,distractor,3,4,brush_small_blue,overinformativeness,size_sufficient,distractor,1,1,brush_big_red,overinformativeness,size_sufficient,target,4,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466701205,10,clickedObj,,chick,filler,none,target,2,3,dog,filler,none,distractor,1,1,butterfly,filler,none,distractor,4,2,strawberry,filler,none,distractor,3,4,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466710824,11,clickedObj,,cow,filler,none,target,3,4,door,filler,none,distractor,1,3,pitcher,filler,none,distractor,4,2,carrot,filler,none,distractor,2,1,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466723047,12,clickedObj,,pants_small_green,overinformativeness,color_sufficient,target,3,4,pants_small_pink,overinformativeness,color_sufficient,distractor,2,1,pants_big_pink,overinformativeness,color_sufficient,distractor,4,3,pants_small_pink,overinformativeness,color_sufficient,distractor,1,2,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466736910,13,clickedObj,,fish,filler,none,target,3,2,pig,filler,none,distractor,2,4,tomato,filler,none,distractor,4,1,horse,filler,none,distractor,1,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466750037,14,clickedObj,,socks_big_blue,overinformativeness,color_sufficient,target,4,2,socks_big_green,overinformativeness,color_sufficient,distractor,1,4,socks_big_green,overinformativeness,color_sufficient,distractor,2,1,socks_small_green,overinformativeness,color_sufficient,distractor,3,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466758145,15,clickedObj,,banana,filler,none,target,3,1,elephant,filler,none,distractor,2,3,guitar,filler,none,distractor,4,2,bowl,filler,none,distractor,1,4,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466764244,16,clickedObj,,guitar,filler,none,target,2,2,banana,filler,none,distractor,1,1,bowl,filler,none,distractor,3,4,elephant,filler,none,distractor,4,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466779848,17,clickedObj,,picture_bw_square,adjective_ordering,none,target,4,2,picture_bw_rectangular,adjective_ordering,none,distractor,2,4,picture_colored_rectangular,adjective_ordering,none,distractor,1,3,picture_colored_square,adjective_ordering,none,distractor,3,1,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466793704,18,clickedObj,,pig,filler,none,target,4,4,horse,filler,none,distractor,2,2,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,3,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466806287,19,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,3,2,dress_small_green,overinformativeness,size_sufficient,distractor,4,3,dress_small_blue,overinformativeness,size_sufficient,distractor,1,1,dress_small_green,overinformativeness,size_sufficient,distractor,2,4,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466818109,20,clickedObj,,chair_small_yellow,overinformativeness,size_sufficient,target,2,1,chair_big_yellow,overinformativeness,size_sufficient,distractor,4,4,chair_big_blue,overinformativeness,size_sufficient,distractor,3,2,chair_big_yellow,overinformativeness,size_sufficient,distractor,1,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
7597-b,1599466832423,21,clickedObj,,knife_big_red,overinformativeness,size_sufficient,target,1,4,knife_small_blue,overinformativeness,size_sufficient,distractor,3,1,knife_small_red,overinformativeness,size_sufficient,distractor,4,2,knife_small_red,overinformativeness,size_sufficient,distractor,2,3,ülküctsl,bayramctsl,?order_type=random_order&last_round=
