gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
8833-9,1599901414293,1,clickedObj,,tomato,filler,none,target,3,3,pig,filler,none,distractor,1,1,fish,filler,none,distractor,4,2,horse,filler,none,distractor,2,4,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901426572,2,clickedObj,,elephant,filler,none,target,3,4,banana,filler,none,distractor,2,2,guitar,filler,none,distractor,1,3,bowl,filler,none,distractor,4,1,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901437133,3,clickedObj,,butterfly,filler,none,target,1,2,dog,filler,none,distractor,4,4,strawberry,filler,none,distractor,2,3,chick,filler,none,distractor,3,1,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901446312,4,clickedObj,,horse,filler,none,target,4,4,pig,filler,none,distractor,1,2,fish,filler,none,distractor,2,1,tomato,filler,none,distractor,3,3,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901457993,5,clickedObj,,strawberry,filler,none,target,4,1,dog,filler,none,distractor,2,3,butterfly,filler,none,distractor,3,2,chick,filler,none,distractor,1,4,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901467633,6,clickedObj,,chick,filler,none,target,3,3,strawberry,filler,none,distractor,1,1,dog,filler,none,distractor,4,2,butterfly,filler,none,distractor,2,4,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901478732,7,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,target,1,3,balloon_big_pink,overinformativeness,size_sufficient,distractor,4,2,balloon_big_yellow,overinformativeness,size_sufficient,distractor,3,4,balloon_big_yellow,overinformativeness,size_sufficient,distractor,2,1,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901489213,8,clickedObj,,socks_big_green,overinformativeness,color_sufficient,target,1,1,socks_big_blue,overinformativeness,color_sufficient,distractor,4,3,socks_big_blue,overinformativeness,color_sufficient,distractor,3,2,socks_small_blue,overinformativeness,color_sufficient,distractor,2,4,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901501433,9,clickedObj,,knife_big_blue,overinformativeness,size_sufficient,target,2,3,knife_small_red,overinformativeness,size_sufficient,distractor,1,4,knife_small_blue,overinformativeness,size_sufficient,distractor,4,1,knife_small_blue,overinformativeness,size_sufficient,distractor,3,2,emine_tr,haluk_tr,?order_type=random_order&last_round=
8833-9,1599901521773,10,clickedObj,,man_young_cleanshaven,adjective_ordering,none,target,1,2,man_old_bearded,adjective_ordering,none,distractor,3,1,man_old_cleanshaven,adjective_ordering,none,distractor,4,3,man_young_bearded,adjective_ordering,none,distractor,2,4,emine_tr,haluk_tr,?order_type=random_order&last_round=
