gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
1371-1,1599999106194,1,clickedObj,,tomato,filler,none,target,2,4,fish,filler,none,distractor,1,2,horse,filler,none,distractor,3,1,pig,filler,none,distractor,4,3,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999114988,2,clickedObj,,elephant,filler,none,target,2,3,guitar,filler,none,distractor,3,4,bowl,filler,none,distractor,4,1,banana,filler,none,distractor,1,2,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999124507,3,clickedObj,,butterfly,filler,none,target,3,1,chick,filler,none,distractor,4,3,strawberry,filler,none,distractor,2,4,dog,filler,none,distractor,1,2,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999130805,4,clickedObj,,horse,filler,none,target,1,1,pig,filler,none,distractor,4,3,fish,filler,none,distractor,2,2,tomato,filler,none,distractor,3,4,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999139137,5,clickedObj,,strawberry,filler,none,target,2,3,butterfly,filler,none,distractor,3,2,dog,filler,none,distractor,4,1,chick,filler,none,distractor,1,4,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999167818,6,clickedObj,,brush_small_red,overinformativeness,size_sufficient,target,1,4,brush_big_red,overinformativeness,size_sufficient,distractor,4,1,brush_big_blue,overinformativeness,size_sufficient,distractor,2,3,brush_big_red,overinformativeness,size_sufficient,distractor,3,2,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999205418,7,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,3,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,1,2,flower_small_pink,overinformativeness,size_sufficient,distractor,2,4,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,1,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999218494,8,clickedObj,,pig,filler,none,target,4,1,horse,filler,none,distractor,1,3,fish,filler,none,distractor,2,4,tomato,filler,none,distractor,3,2,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999230163,9,clickedObj,,man_old_bearded,adjective_ordering,none,target,2,3,man_young_cleanshaven,adjective_ordering,none,distractor,1,1,man_young_bearded,adjective_ordering,none,distractor,4,4,man_old_cleanshaven,adjective_ordering,none,distractor,3,2,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
1371-1,1599999239198,10,clickedObj,,cow,filler,none,target,2,2,door,filler,none,distractor,3,3,carrot,filler,none,distractor,1,4,pitcher,filler,none,distractor,4,1,OsmancukurovasL,veyselcukurovaSL,?order_type=random_order&last_round=
