gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
1883-5,1600094939075,1,clickedObj,,tomato,filler,none,target,3,2,pig,filler,none,distractor,2,3,fish,filler,none,distractor,4,1,horse,filler,none,distractor,1,4,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600094947015,2,clickedObj,,elephant,filler,none,target,1,1,guitar,filler,none,distractor,3,3,banana,filler,none,distractor,4,2,bowl,filler,none,distractor,2,4,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600094953038,3,clickedObj,,butterfly,filler,none,target,2,2,dog,filler,none,distractor,4,3,chick,filler,none,distractor,1,1,strawberry,filler,none,distractor,3,4,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600094959178,4,clickedObj,,horse,filler,none,target,2,1,pig,filler,none,distractor,1,3,fish,filler,none,distractor,4,4,tomato,filler,none,distractor,3,2,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600094964977,5,clickedObj,,strawberry,filler,none,target,3,3,chick,filler,none,distractor,4,4,butterfly,filler,none,distractor,1,2,dog,filler,none,distractor,2,1,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600094971657,6,clickedObj,,pig,filler,none,target,4,1,horse,filler,none,distractor,2,2,fish,filler,none,distractor,3,4,tomato,filler,none,distractor,1,3,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600094983435,7,clickedObj,,balloon_big_yellow,overinformativeness,size_sufficient,target,2,4,baloon_small_pink,overinformativeness,size_sufficient,distractor,1,2,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,3,1,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600095010717,8,clickedObj,,lock_big_silver,overinformativeness,color_sufficient,target,1,2,lock_big_gold,overinformativeness,color_sufficient,distractor,4,4,lock_small_gold,overinformativeness,color_sufficient,distractor,2,3,lock_big_gold,overinformativeness,color_sufficient,distractor,3,1,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600095021196,9,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,3,3,brush_small_blue,overinformativeness,size_sufficient,distractor,1,4,brush_small_blue,overinformativeness,size_sufficient,distractor,4,1,brush_small_red,overinformativeness,size_sufficient,distractor,2,2,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
1883-5,1600095033057,10,clickedObj,,shorts_wet_green,adjective_ordering,none,target,1,3,shorts_dry_red,adjective_ordering,none,distractor,2,2,shorts_dry_green,adjective_ordering,none,distractor,4,4,shorts_wet_red,adjective_ordering,none,distractor,3,1,yildiz_turkce,sılanur_turkce,?order_type=random_order&last_round=
