gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
0806-0,1600259378483,1,clickedObj,,tomato,filler,none,target,2,2,horse,filler,none,distractor,1,3,fish,filler,none,distractor,4,4,pig,filler,none,distractor,3,1,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259384802,2,clickedObj,,elephant,filler,none,target,3,2,bowl,filler,none,distractor,2,4,guitar,filler,none,distractor,4,1,banana,filler,none,distractor,1,3,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259392696,3,clickedObj,,butterfly,filler,none,target,2,1,strawberry,filler,none,distractor,3,4,chick,filler,none,distractor,1,3,dog,filler,none,distractor,4,2,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259398667,4,clickedObj,,horse,filler,none,target,2,4,fish,filler,none,distractor,3,3,pig,filler,none,distractor,1,1,tomato,filler,none,distractor,4,2,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259403133,5,clickedObj,,strawberry,filler,none,target,2,4,butterfly,filler,none,distractor,3,3,dog,filler,none,distractor,4,1,chick,filler,none,distractor,1,2,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259409221,6,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,1,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,4,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,1,shoe_big_pink,overinformativeness,color_sufficient,distractor,2,2,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259414921,7,clickedObj,,lighter_small_black,overinformativeness,color_sufficient,target,4,2,lighter_small_white,overinformativeness,color_sufficient,distractor,1,1,lighter_small_white,overinformativeness,color_sufficient,distractor,2,4,lighter_big_white,overinformativeness,color_sufficient,distractor,3,3,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259448269,8,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,4,2,bag_small_blue,overinformativeness,size_sufficient,distractor,2,1,bag_small_red,overinformativeness,size_sufficient,distractor,1,4,bag_small_red,overinformativeness,size_sufficient,distractor,3,3,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259455841,9,clickedObj,,fish,filler,none,target,2,1,horse,filler,none,distractor,1,2,pig,filler,none,distractor,3,3,tomato,filler,none,distractor,4,4,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259462175,10,clickedObj,,ball_big_yellow,overinformativeness,size_sufficient,target,2,2,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,4,4,ball_small_purple,overinformativeness,size_sufficient,distractor,3,3,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259472147,11,clickedObj,,box_open_wood,adjective_ordering,none,target,1,2,box_closed_cardboard,adjective_ordering,none,distractor,4,3,box_open_cardboard,adjective_ordering,none,distractor,2,1,box_closed_wood,adjective_ordering,none,distractor,3,4,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259481227,12,clickedObj,,dog,filler,none,target,2,4,chick,filler,none,distractor,1,1,butterfly,filler,none,distractor,4,2,strawberry,filler,none,distractor,3,3,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259492437,13,clickedObj,,shorts_dry_green,adjective_ordering,none,target,2,4,shorts_dry_red,adjective_ordering,none,distractor,3,2,shorts_wet_red,adjective_ordering,none,distractor,4,3,shorts_wet_green,adjective_ordering,none,distractor,1,1,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259499647,14,clickedObj,,pot_small_blue,overinformativeness,color_sufficient,target,3,3,pot_small_green,overinformativeness,color_sufficient,distractor,1,1,pot_big_green,overinformativeness,color_sufficient,distractor,4,2,pot_small_green,overinformativeness,color_sufficient,distractor,2,4,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259505897,15,clickedObj,,guitar,filler,none,target,1,3,elephant,filler,none,distractor,2,1,bowl,filler,none,distractor,4,2,banana,filler,none,distractor,3,4,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259513597,16,clickedObj,,flower_big_pink,overinformativeness,size_sufficient,target,3,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,2,1,flower_small_pink,overinformativeness,size_sufficient,distractor,4,4,flower_small_pink,overinformativeness,size_sufficient,distractor,1,2,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259530037,17,clickedObj,,spoon_wooden_clean,adjective_ordering,none,target,2,1,spoon_wooden_dirty,adjective_ordering,none,distractor,3,4,spoon_metal_dirty,adjective_ordering,none,distractor,4,2,spoon_metal_clean,adjective_ordering,none,distractor,1,3,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259537327,18,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,1,1,button_small_blue,overinformativeness,size_sufficient,distractor,4,2,button_small_green,overinformativeness,size_sufficient,distractor,2,3,button_small_blue,overinformativeness,size_sufficient,distractor,3,4,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259545307,19,clickedObj,,lock_small_gold,overinformativeness,color_sufficient,target,4,3,lock_small_silver,overinformativeness,color_sufficient,distractor,3,2,lock_big_silver,overinformativeness,color_sufficient,distractor,2,4,lock_small_silver,overinformativeness,color_sufficient,distractor,1,1,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259554157,20,clickedObj,,bowl,filler,none,target,2,2,banana,filler,none,distractor,4,4,elephant,filler,none,distractor,1,1,guitar,filler,none,distractor,3,3,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
0806-0,1600259561737,21,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,4,3,apple_big_green,overinformativeness,size_sufficient,distractor,3,1,apple_big_green,overinformativeness,size_sufficient,distractor,1,2,apple_big_red,overinformativeness,size_sufficient,distractor,2,4,ozdal_turkce,enes_turkce,?order_type=random_order&last_round=
