gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
7416-0,1599041977033,1,clickedObj,,tomato,filler,none,target,2,1,horse,filler,none,distractor,3,3,pig,filler,none,distractor,1,4,fish,filler,none,distractor,4,2,berke,idil,?order_type=random_order&last_round=
7416-0,1599041985743,2,clickedObj,,elephant,filler,none,target,4,2,guitar,filler,none,distractor,1,3,bowl,filler,none,distractor,2,1,banana,filler,none,distractor,3,4,berke,idil,?order_type=random_order&last_round=
7416-0,1599041992058,3,clickedObj,,butterfly,filler,none,target,3,3,dog,filler,none,distractor,2,1,chick,filler,none,distractor,1,4,strawberry,filler,none,distractor,4,2,berke,idil,?order_type=random_order&last_round=
7416-0,1599042077598,4,clickedObj,,horse,filler,none,target,3,3,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,2,2,pig,filler,none,distractor,4,4,berke,idil,?order_type=random_order&last_round=
7416-0,1599042080992,5,clickedObj,,strawberry,filler,none,target,4,4,chick,filler,none,distractor,2,2,dog,filler,none,distractor,1,1,butterfly,filler,none,distractor,3,3,berke,idil,?order_type=random_order&last_round=
7416-0,1599042085078,6,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,1,3,shoe_big_yellow,overinformativeness,color_sufficient,distractor,3,1,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,4,show_small_yellow,overinformativeness,color_sufficient,distractor,4,2,berke,idil,?order_type=random_order&last_round=
7416-0,1599042090342,7,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,distractor,2,2,pepper_big_red,overinformativeness,color_sufficient,target,3,3,pepper_big_green,overinformativeness,color_sufficient,distractor,4,1,pepper_big_green,overinformativeness,color_sufficient,distractor,1,4,berke,idil,?order_type=random_order&last_round=
7416-0,1599042096496,8,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,distractor,2,3,brush_small_red,overinformativeness,size_sufficient,target,3,1,brush_big_red,overinformativeness,size_sufficient,distractor,1,2,brush_big_red,overinformativeness,size_sufficient,distractor,4,4,berke,idil,?order_type=random_order&last_round=
7416-0,1599042101232,9,clickedObj,,pants_small_pink,overinformativeness,color_sufficient,target,4,3,pants_small_green,overinformativeness,color_sufficient,distractor,1,4,pants_small_green,overinformativeness,color_sufficient,distractor,2,2,pants_big_green,overinformativeness,color_sufficient,distractor,3,1,berke,idil,?order_type=random_order&last_round=
7416-0,1599042106984,10,clickedObj,,hair_curly_blonde,adjective_ordering,none,target,1,1,hair_straight_brown,adjective_ordering,none,distractor,3,3,hair_straight_blond,adjective_ordering,none,distractor,4,2,hair_curly_brown,adjective_ordering,none,distractor,2,4,berke,idil,?order_type=random_order&last_round=
7416-0,1599042112988,11,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,2,3,ball_big_yellow,overinformativeness,size_sufficient,distractor,4,2,ball_big_purple,overinformativeness,size_sufficient,distractor,3,1,ball_big_yellow,overinformativeness,size_sufficient,distractor,1,4,berke,idil,?order_type=random_order&last_round=
7416-0,1599042117308,12,clickedObj,,clock_big_yellow,overinformativeness,size_sufficient,distractor,3,3,clock_small_yellow,overinformativeness,size_sufficient,target,1,2,clock_big_purple,overinformativeness,size_sufficient,distractor,4,4,clock_big_yellow,overinformativeness,size_sufficient,distractor,2,1,berke,idil,?order_type=random_order&last_round=
