gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
6490-0,1599354388553,1,clickedObj,,tomato,filler,none,target,3,2,horse,filler,none,distractor,1,3,pig,filler,none,distractor,4,4,fish,filler,none,distractor,2,1,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354391237,2,clickedObj,,bowl,filler,none,distractor,4,2,elephant,filler,none,target,1,1,banana,filler,none,distractor,3,3,guitar,filler,none,distractor,2,4,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354392697,3,clickedObj,,dog,filler,none,distractor,4,2,chick,filler,none,distractor,1,1,strawberry,filler,none,distractor,3,4,butterfly,filler,none,target,2,3,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354394109,4,clickedObj,,fish,filler,none,distractor,4,2,tomato,filler,none,distractor,2,1,horse,filler,none,target,1,3,pig,filler,none,distractor,3,4,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354395820,5,clickedObj,,dog,filler,none,distractor,4,2,chick,filler,none,distractor,3,1,butterfly,filler,none,distractor,2,3,strawberry,filler,none,target,1,4,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354405951,6,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,2,4,tie_big_blue,overinformativeness,color_sufficient,distractor,1,2,tie_small_blue,overinformativeness,color_sufficient,distractor,3,1,tie_small_blue,overinformativeness,color_sufficient,distractor,4,3,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354410759,7,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,3,2,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,4,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,2,3,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354448794,8,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,2,1,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,3,flower_small_pink,overinformativeness,size_sufficient,distractor,1,2,flower_small_yellow,overinformativeness,size_sufficient,distractor,3,4,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354502781,9,clickedObj,,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,3,2,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,1,3,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,2,1,tshirt_small_orange,overinformativeness,color_sufficient,target,4,4,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354504654,10,clickedObj,,butterfly,filler,none,distractor,2,2,dog,filler,none,distractor,4,1,strawberry,filler,none,distractor,3,4,chick,filler,none,target,1,3,berke,leyla,?order_type=random_order&last_round=
6490-0,1599354506437,11,clickedObj,,guitar,filler,none,distractor,3,2,elephant,filler,none,distractor,1,4,bowl,filler,none,target,4,1,banana,filler,none,distractor,2,3,berke,leyla,?order_type=random_order&last_round=
