gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
5101-0,1599321958903,1,clickedObj,,tomato,filler,none,target,4,4,horse,filler,none,distractor,1,1,pig,filler,none,distractor,3,3,fish,filler,none,distractor,2,2,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599321980238,2,clickedObj,,elephant,filler,none,target,3,3,guitar,filler,none,distractor,4,1,bowl,filler,none,distractor,1,2,banana,filler,none,distractor,2,4,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599321987216,3,clickedObj,,butterfly,filler,none,target,3,3,dog,filler,none,distractor,4,4,strawberry,filler,none,distractor,2,1,chick,filler,none,distractor,1,2,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599321993841,4,clickedObj,,horse,filler,none,target,1,2,pig,filler,none,distractor,4,1,tomato,filler,none,distractor,2,3,fish,filler,none,distractor,3,4,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599321999437,5,clickedObj,,strawberry,filler,none,target,3,4,butterfly,filler,none,distractor,4,3,chick,filler,none,distractor,1,1,dog,filler,none,distractor,2,2,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599322011713,6,clickedObj,,pencil_long_blue,adjective_ordering,none,target,4,1,pencil_short_blue,adjective_ordering,none,distractor,3,4,pencil_long_black,adjective_ordering,none,distractor,1,2,pencil_short_black,adjective_ordering,none,distractor,2,3,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599322021199,7,clickedObj,,umbrella_small_blue,overinformativeness,color_sufficient,target,1,2,umbrella_small_green,overinformativeness,color_sufficient,distractor,2,1,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,4,umbrella_small_green,overinformativeness,color_sufficient,distractor,4,3,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599322028443,8,clickedObj,,door,filler,none,target,3,2,carrot,filler,none,distractor,1,4,pitcher,filler,none,distractor,2,1,cow,filler,none,distractor,4,3,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599322040724,9,clickedObj,,spoon_metal_clean,adjective_ordering,none,distractor,1,1,spoon_metal_dirty,adjective_ordering,none,distractor,3,2,spoon_wooden_clean,adjective_ordering,none,target,2,4,spoon_wooden_dirty,adjective_ordering,none,distractor,4,3,Bülent (türkçe),durdu,?order_type=random_order&last_round=
5101-0,1599322054514,10,clickedObj,,woman2_happy_fat,adjective_ordering,none,distractor,4,4,woman2_happy_skinny,adjective_ordering,none,target,2,1,woman2_sad_fat,adjective_ordering,none,distractor,1,3,woman2_sad_skinny,adjective_ordering,none,distractor,3,2,Bülent (türkçe),durdu,?order_type=random_order&last_round=
