gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
4693-d,1599638980832,1,clickedObj,,tomato,filler,none,target,3,4,pig,filler,none,distractor,2,3,horse,filler,none,distractor,4,1,fish,filler,none,distractor,1,2,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599638989555,2,clickedObj,,elephant,filler,none,target,2,1,guitar,filler,none,distractor,1,4,bowl,filler,none,distractor,3,2,banana,filler,none,distractor,4,3,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639001213,3,clickedObj,,butterfly,filler,none,target,4,2,strawberry,filler,none,distractor,1,4,dog,filler,none,distractor,2,1,chick,filler,none,distractor,3,3,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639007464,4,clickedObj,,horse,filler,none,target,2,4,pig,filler,none,distractor,4,2,tomato,filler,none,distractor,3,1,fish,filler,none,distractor,1,3,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639014941,5,clickedObj,,strawberry,filler,none,target,1,4,butterfly,filler,none,distractor,3,3,dog,filler,none,distractor,2,1,chick,filler,none,distractor,4,2,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639021974,6,clickedObj,,dog,filler,none,target,4,1,strawberry,filler,none,distractor,3,2,chick,filler,none,distractor,1,3,butterfly,filler,none,distractor,2,4,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639034101,7,clickedObj,,cat_small_black,overinformativeness,size_sufficient,target,2,1,cat_big_black,overinformativeness,size_sufficient,distractor,3,4,cat_big_white,overinformativeness,size_sufficient,distractor,4,2,cat_big_black,overinformativeness,size_sufficient,distractor,1,3,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639047045,8,clickedObj,,ball_small_purple,overinformativeness,size_sufficient,distractor,3,4,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,2,3,ball_big_yellow,overinformativeness,size_sufficient,target,4,2,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639053638,9,clickedObj,,banana,filler,none,target,2,4,bowl,filler,none,distractor,4,1,elephant,filler,none,distractor,1,3,guitar,filler,none,distractor,3,2,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
4693-d,1599639063688,10,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,2,1,pepper_big_green,overinformativeness,color_sufficient,distractor,3,2,pepper_big_green,overinformativeness,color_sufficient,distractor,4,4,pepper_small_green,overinformativeness,color_sufficient,distractor,1,3,huseyinsarimazi,yagizsarimazi,?order_type=random_order&last_round=
