gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
5769-e,1599017769039,4,clickedObj,,fish,filler,none,distractor,4,2,pig,filler,none,distractor,3,3,tomato,filler,none,distractor,1,1,horse,filler,none,target,2,4,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017770933,5,clickedObj,,strawberry,filler,none,target,4,3,butterfly,filler,none,distractor,3,2,chick,filler,none,distractor,1,1,dog,filler,none,distractor,2,4,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017774922,6,clickedObj,,chair_small_yellow,overinformativeness,size_sufficient,distractor,2,3,chair_small_blue,overinformativeness,size_sufficient,distractor,4,1,chair_small_blue,overinformativeness,size_sufficient,distractor,3,2,chair_big_blue,overinformativeness,size_sufficient,target,1,4,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017885677,7,clickedObj,,car_big_green,overinformativeness,size_sufficient,distractor,4,2,car_small_green,overinformativeness,size_sufficient,target,3,4,car_big_green,overinformativeness,size_sufficient,distractor,2,3,car_big_blue,overinformativeness,size_sufficient,distractor,1,1,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017887030,8,clickedObj,,scissors_big_green,overinformativeness,color_sufficient,distractor,4,3,scissors_small_green,overinformativeness,color_sufficient,distractor,3,2,scissors_small_blue,overinformativeness,color_sufficient,target,2,1,scissors_small_green,overinformativeness,color_sufficient,distractor,1,4,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017888249,9,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,distractor,3,2,show_small_yellow,overinformativeness,color_sufficient,distractor,4,3,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,4,shoe_small_pink,overinformativeness,color_sufficient,target,2,1,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017889644,10,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,distractor,4,3,bag_big_blue,overinformativeness,size_sufficient,target,3,4,bag_small_blue,overinformativeness,size_sufficient,distractor,1,2,bag_small_red,overinformativeness,size_sufficient,distractor,2,1,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017891143,11,clickedObj,,button_big_green,overinformativeness,size_sufficient,distractor,2,2,button_big_blue,overinformativeness,size_sufficient,distractor,3,1,button_small_green,overinformativeness,size_sufficient,target,1,3,button_big_green,overinformativeness,size_sufficient,distractor,4,4,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017892766,12,clickedObj,,socks_small_green,overinformativeness,color_sufficient,distractor,1,3,socks_big_green,overinformativeness,color_sufficient,distractor,4,1,socks_small_green,overinformativeness,color_sufficient,distractor,3,2,socks_small_blue,overinformativeness,color_sufficient,target,2,4,sss,sss,?order_type=last_order&last_round=5
5769-e,1599017894250,13,clickedObj,,horse,filler,none,distractor,1,2,tomato,filler,none,distractor,2,4,fish,filler,none,distractor,3,1,pig,filler,none,target,4,3,sss,sss,?order_type=last_order&last_round=5
