gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
0073-0,1599815831368,1,clickedObj,,tomato,filler,none,target,1,1,horse,filler,none,distractor,2,3,pig,filler,none,distractor,4,4,fish,filler,none,distractor,3,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599815841552,2,clickedObj,,elephant,filler,none,target,2,1,guitar,filler,none,distractor,1,4,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,4,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599815849478,3,clickedObj,,butterfly,filler,none,target,1,4,strawberry,filler,none,distractor,2,3,chick,filler,none,distractor,4,1,dog,filler,none,distractor,3,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599815858292,4,clickedObj,,horse,filler,none,target,1,2,tomato,filler,none,distractor,2,1,fish,filler,none,distractor,4,3,pig,filler,none,distractor,3,4,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599815867703,5,clickedObj,,strawberry,filler,none,target,1,3,butterfly,filler,none,distractor,3,2,dog,filler,none,distractor,4,1,chick,filler,none,distractor,2,4,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599815927654,6,clickedObj,,scissors_small_blue,overinformativeness,color_sufficient,target,1,2,scissors_big_green,overinformativeness,color_sufficient,distractor,4,1,scissors_small_green,overinformativeness,color_sufficient,distractor,3,4,scissors_small_green,overinformativeness,color_sufficient,distractor,2,3,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599815945354,7,clickedObj,,lock_big_silver,overinformativeness,color_sufficient,target,2,3,lock_big_gold,overinformativeness,color_sufficient,distractor,1,1,lock_big_gold,overinformativeness,color_sufficient,distractor,4,4,lock_small_gold,overinformativeness,color_sufficient,distractor,3,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599815968168,8,clickedObj,,woman2_happy_fat,adjective_ordering,none,target,3,3,woman2_sad_skinny,adjective_ordering,none,distractor,4,1,woman2_sad_fat,adjective_ordering,none,distractor,2,2,woman2_happy_skinny,adjective_ordering,none,distractor,1,4,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816008491,9,clickedObj,,apple_big_red,overinformativeness,size_sufficient,target,2,2,apple_small_red,overinformativeness,size_sufficient,distractor,4,1,apple_small_red,overinformativeness,size_sufficient,distractor,3,3,apple_small_green,overinformativeness,size_sufficient,distractor,1,4,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816023331,10,clickedObj,,pig,filler,none,target,1,2,fish,filler,none,distractor,4,3,horse,filler,none,distractor,3,1,tomato,filler,none,distractor,2,4,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816034305,11,clickedObj,,dog,filler,none,target,3,4,butterfly,filler,none,distractor,2,1,chick,filler,none,distractor,1,2,strawberry,filler,none,distractor,4,3,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816079518,12,clickedObj,,car_small_blue,overinformativeness,size_sufficient,target,1,2,car_big_green,overinformativeness,size_sufficient,distractor,4,4,car_big_blue,overinformativeness,size_sufficient,distractor,2,3,car_big_blue,overinformativeness,size_sufficient,distractor,3,1,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816112970,13,clickedObj,,shorts_dry_green,adjective_ordering,none,target,3,4,shorts_dry_red,adjective_ordering,none,distractor,2,2,shorts_wet_green,adjective_ordering,none,distractor,4,3,shorts_wet_red,adjective_ordering,none,distractor,1,1,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816129778,14,clickedObj,,hair_curly_brown,adjective_ordering,none,target,2,3,hair_straight_blond,adjective_ordering,none,distractor,3,4,hair_curly_blonde,adjective_ordering,none,distractor,4,1,hair_straight_brown,adjective_ordering,none,distractor,1,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816147101,15,clickedObj,,woman_young_sad,adjective_ordering,none,distractor,3,3,woman_young_happy,adjective_ordering,none,distractor,2,2,woman_old_sad,adjective_ordering,none,target,1,4,woman_old_happy,adjective_ordering,none,distractor,4,1,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816180488,16,clickedObj,,man_young_bearded,adjective_ordering,none,target,3,2,man_old_bearded,adjective_ordering,none,distractor,1,4,man_old_cleanshaven,adjective_ordering,none,distractor,2,3,man_young_cleanshaven,adjective_ordering,none,distractor,4,1,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816201463,17,clickedObj,,fish,filler,none,target,2,4,horse,filler,none,distractor,3,3,pig,filler,none,distractor,1,1,tomato,filler,none,distractor,4,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816210871,18,clickedObj,,guitar,filler,none,target,4,4,bowl,filler,none,distractor,3,1,banana,filler,none,distractor,2,2,elephant,filler,none,distractor,1,3,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816227210,19,clickedObj,,pot_small_blue,overinformativeness,color_sufficient,target,2,4,pot_small_green,overinformativeness,color_sufficient,distractor,1,1,pot_small_green,overinformativeness,color_sufficient,distractor,4,3,pot_big_green,overinformativeness,color_sufficient,distractor,3,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816255913,20,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,distractor,1,4,lipstick_small_pink,overinformativeness,color_sufficient,target,3,3,lipstick_small_red,overinformativeness,color_sufficient,distractor,4,1,lipstick_big_red,overinformativeness,color_sufficient,distractor,2,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816283945,21,clickedObj,,box_open_cardboard,adjective_ordering,none,distractor,3,3,box_closed_cardboard,adjective_ordering,none,target,4,2,box_closed_wood,adjective_ordering,none,distractor,1,1,box_open_wood,adjective_ordering,none,distractor,2,4,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816300035,22,clickedObj,,key_small_gold,overinformativeness,size_sufficient,target,3,1,key_big_gold,overinformativeness,size_sufficient,distractor,1,2,key_big_silver,overinformativeness,size_sufficient,distractor,2,4,key_big_gold,overinformativeness,size_sufficient,distractor,4,3,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816315690,23,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,4,1,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,4,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,3,show_small_yellow,overinformativeness,color_sufficient,distractor,3,2,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
0073-0,1599816325623,24,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,4,3,button_small_green,overinformativeness,size_sufficient,distractor,3,2,button_small_blue,overinformativeness,size_sufficient,distractor,1,4,button_small_blue,overinformativeness,size_sufficient,distractor,2,1,sevgi_homesign,meralanne_tr,?order_type=random_order&last_round=
