gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
8338-3,1600135943119,1,clickedObj,,horse,filler,none,distractor,1,3,fish,filler,none,distractor,3,1,tomato,filler,none,target,2,4,pig,filler,none,distractor,4,2,berke,leyla,?order_type=random_order&last_round=
8338-3,1600135944452,2,clickedObj,,banana,filler,none,distractor,1,2,guitar,filler,none,distractor,4,3,bowl,filler,none,distractor,3,1,elephant,filler,none,target,2,4,berke,leyla,?order_type=random_order&last_round=
8338-3,1600135945564,3,clickedObj,,strawberry,filler,none,distractor,2,3,butterfly,filler,none,target,4,1,chick,filler,none,distractor,3,2,dog,filler,none,distractor,1,4,berke,leyla,?order_type=random_order&last_round=
8338-3,1600135946831,4,clickedObj,,fish,filler,none,distractor,4,2,tomato,filler,none,distractor,3,1,pig,filler,none,distractor,2,4,horse,filler,none,target,1,3,berke,leyla,?order_type=random_order&last_round=
8338-3,1600135948243,5,clickedObj,,dog,filler,none,distractor,2,3,chick,filler,none,distractor,4,2,butterfly,filler,none,distractor,1,1,strawberry,filler,none,target,3,4,berke,leyla,?order_type=random_order&last_round=
8338-3,1600135950259,6,clickedObj,,guitar,filler,none,distractor,3,3,banana,filler,none,target,2,4,bowl,filler,none,distractor,4,1,elephant,filler,none,distractor,1,2,berke,leyla,?order_type=random_order&last_round=
8338-3,1600136008169,7,clickedObj,,glove_big_green,overinformativeness,size_sufficient,target,2,3,glove_small_green,overinformativeness,size_sufficient,distractor,1,2,glove_small_green,overinformativeness,size_sufficient,distractor,3,4,glove_small_orange,overinformativeness,size_sufficient,distractor,4,1,berke,leyla,?order_type=random_order&last_round=
8338-3,1600136009781,8,clickedObj,,banana,filler,none,distractor,2,3,guitar,filler,none,distractor,4,1,bowl,filler,none,target,3,4,elephant,filler,none,distractor,1,2,berke,leyla,?order_type=random_order&last_round=
8338-3,1600136011716,9,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,distractor,1,3,toothbrush_small_green,overinformativeness,color_sufficient,distractor,2,4,toothbrush_small_purple,overinformativeness,color_sufficient,target,4,1,toothbrush_big_green,overinformativeness,color_sufficient,distractor,3,2,berke,leyla,?order_type=random_order&last_round=
8338-3,1600136014019,10,clickedObj,,cat_big_black,overinformativeness,size_sufficient,distractor,2,2,cat_small_black,overinformativeness,size_sufficient,target,4,4,cat_big_white,overinformativeness,size_sufficient,distractor,3,3,cat_big_black,overinformativeness,size_sufficient,distractor,1,1,berke,leyla,?order_type=random_order&last_round=
8338-3,1600136015784,11,clickedObj,,bowl,filler,none,distractor,4,2,elephant,filler,none,distractor,3,4,guitar,filler,none,target,1,3,banana,filler,none,distractor,2,1,berke,leyla,?order_type=random_order&last_round=
