gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
6767-2,1600091468868,1,clickedObj,,tomato,filler,none,target,4,3,pig,filler,none,distractor,1,1,fish,filler,none,distractor,3,4,horse,filler,none,distractor,2,2,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091476974,2,clickedObj,,elephant,filler,none,target,3,2,bowl,filler,none,distractor,2,3,banana,filler,none,distractor,1,1,guitar,filler,none,distractor,4,4,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091484648,3,clickedObj,,butterfly,filler,none,target,3,3,strawberry,filler,none,distractor,4,2,chick,filler,none,distractor,2,4,dog,filler,none,distractor,1,1,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091491498,4,clickedObj,,horse,filler,none,target,1,4,tomato,filler,none,distractor,2,1,fish,filler,none,distractor,3,2,pig,filler,none,distractor,4,3,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091497607,5,clickedObj,,strawberry,filler,none,target,1,3,butterfly,filler,none,distractor,2,1,chick,filler,none,distractor,3,2,dog,filler,none,distractor,4,4,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091512208,6,clickedObj,,toothbrush_big_purple,overinformativeness,color_sufficient,target,2,1,toothbrush_big_green,overinformativeness,color_sufficient,distractor,3,2,toothbrush_big_green,overinformativeness,color_sufficient,distractor,1,4,toothbrush_small_green,overinformativeness,color_sufficient,distractor,4,3,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091523421,7,clickedObj,,knife_big_blue,overinformativeness,size_sufficient,target,1,3,knife_small_red,overinformativeness,size_sufficient,distractor,3,2,knife_small_blue,overinformativeness,size_sufficient,distractor,2,1,knife_small_blue,overinformativeness,size_sufficient,distractor,4,4,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091564889,8,clickedObj,,hair_straight_brown,adjective_ordering,none,target,4,3,hair_curly_brown,adjective_ordering,none,distractor,3,4,hair_straight_blond,adjective_ordering,none,distractor,1,1,hair_curly_blonde,adjective_ordering,none,distractor,2,2,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091575404,9,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,4,2,button_small_blue,overinformativeness,size_sufficient,distractor,3,3,button_small_green,overinformativeness,size_sufficient,distractor,2,1,button_small_blue,overinformativeness,size_sufficient,distractor,1,4,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091595553,10,clickedObj,,glasses_small_red,overinformativeness,size_sufficient,target,2,4,glasses_big_red,overinformativeness,size_sufficient,distractor,4,3,glasses_big_red,overinformativeness,size_sufficient,distractor,1,2,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,1,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091603386,11,clickedObj,,dog,filler,none,target,4,4,chick,filler,none,distractor,2,1,strawberry,filler,none,distractor,1,3,butterfly,filler,none,distractor,3,2,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091603486,11,clickedObj,,dog,filler,none,target,4,4,chick,filler,none,distractor,2,1,butterfly,filler,none,distractor,3,2,strawberry,filler,none,distractor,1,3,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091609436,13,clickedObj,,woman_young_happy,adjective_ordering,none,distractor,3,3,woman_young_sad,adjective_ordering,none,target,2,2,woman_old_happy,adjective_ordering,none,distractor,4,4,woman_old_sad,adjective_ordering,none,distractor,1,1,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091616025,14,clickedObj,,banana,filler,none,target,3,4,elephant,filler,none,distractor,2,3,guitar,filler,none,distractor,1,2,bowl,filler,none,distractor,4,1,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091644445,15,clickedObj,,nails_black_matte,adjective_ordering,none,distractor,4,2,nails_red_matte,adjective_ordering,none,distractor,1,3,nails_black_glossy,adjective_ordering,none,target,2,1,nails_red_glossy,adjective_ordering,none,distractor,3,4,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091668136,16,clickedObj,,bottle_glass_small,adjective_ordering,none,target,2,2,bottle_plastic_big,adjective_ordering,none,distractor,1,1,bottle_glass_big,adjective_ordering,none,distractor,4,4,bottle_plastic_small,adjective_ordering,none,distractor,3,3,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091674625,17,clickedObj,,umbrella_small_blue,overinformativeness,color_sufficient,target,1,2,umbrella_small_green,overinformativeness,color_sufficient,distractor,2,1,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,3,umbrella_small_green,overinformativeness,color_sufficient,distractor,4,4,done_turkce,elif_turkce,?order_type=random_order&last_round=
6767-2,1600091683552,18,clickedObj,,fish,filler,none,target,2,1,tomato,filler,none,distractor,1,4,horse,filler,none,distractor,4,3,pig,filler,none,distractor,3,2,done_turkce,elif_turkce,?order_type=random_order&last_round=
