gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
5417-f,1600097047547,1,clickedObj,,tomato,filler,none,target,2,3,horse,filler,none,distractor,4,1,pig,filler,none,distractor,1,2,fish,filler,none,distractor,3,4,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097054948,2,clickedObj,,elephant,filler,none,target,3,3,bowl,filler,none,distractor,2,2,banana,filler,none,distractor,4,4,guitar,filler,none,distractor,1,1,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097060524,3,clickedObj,,butterfly,filler,none,target,1,3,dog,filler,none,distractor,4,1,chick,filler,none,distractor,2,2,strawberry,filler,none,distractor,3,4,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097064677,4,clickedObj,,horse,filler,none,target,3,3,pig,filler,none,distractor,2,4,tomato,filler,none,distractor,1,1,fish,filler,none,distractor,4,2,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097069896,5,clickedObj,,strawberry,filler,none,target,1,4,butterfly,filler,none,distractor,4,1,chick,filler,none,distractor,2,3,dog,filler,none,distractor,3,2,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097100591,6,clickedObj,,bottle_glass_big,adjective_ordering,none,target,1,2,bottle_plastic_small,adjective_ordering,none,distractor,4,4,bottle_glass_small,adjective_ordering,none,distractor,2,1,bottle_plastic_big,adjective_ordering,none,distractor,3,3,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097108421,7,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,3,4,pot_big_green,overinformativeness,color_sufficient,distractor,2,1,pot_small_green,overinformativeness,color_sufficient,distractor,4,2,pot_big_green,overinformativeness,color_sufficient,distractor,1,3,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097133795,8,clickedObj,,woman2_sad_fat,adjective_ordering,none,target,1,3,woman2_sad_skinny,adjective_ordering,none,distractor,3,1,woman2_happy_fat,adjective_ordering,none,distractor,4,4,woman2_happy_skinny,adjective_ordering,none,distractor,2,2,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097140881,9,clickedObj,,guitar,filler,none,target,3,2,elephant,filler,none,distractor,1,3,bowl,filler,none,distractor,4,4,banana,filler,none,distractor,2,1,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
5417-f,1600097162155,10,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,2,1,man2_mustached_glassed,adjective_ordering,none,distractor,1,2,man2_mustached_hatted,adjective_ordering,none,distractor,3,4,man2_bearded_hatted,adjective_ordering,none,distractor,4,3,haticekurtul_turkce,atiye_turkce,?order_type=random_order&last_round=
