gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
0221-9,1600179866921,1,clickedObj,,tomato,filler,none,target,3,1,horse,filler,none,distractor,4,3,pig,filler,none,distractor,2,4,fish,filler,none,distractor,1,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600179881762,2,clickedObj,,elephant,filler,none,target,2,1,guitar,filler,none,distractor,3,3,bowl,filler,none,distractor,4,2,banana,filler,none,distractor,1,4,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600179895976,3,clickedObj,,butterfly,filler,none,target,1,4,chick,filler,none,distractor,3,3,strawberry,filler,none,distractor,4,1,dog,filler,none,distractor,2,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600179908042,4,clickedObj,,horse,filler,none,target,3,1,tomato,filler,none,distractor,1,3,pig,filler,none,distractor,2,4,fish,filler,none,distractor,4,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600179924219,5,clickedObj,,strawberry,filler,none,target,4,2,chick,filler,none,distractor,1,1,butterfly,filler,none,distractor,3,3,dog,filler,none,distractor,2,4,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600179944716,6,clickedObj,,brush_big_red,overinformativeness,size_sufficient,target,3,3,brush_small_blue,overinformativeness,size_sufficient,distractor,1,1,brush_small_red,overinformativeness,size_sufficient,distractor,2,2,brush_small_red,overinformativeness,size_sufficient,distractor,4,4,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600179964885,7,clickedObj,,box_closed_cardboard,adjective_ordering,none,distractor,1,3,box_open_wood,adjective_ordering,none,distractor,2,4,box_open_cardboard,adjective_ordering,none,distractor,4,1,box_closed_wood,adjective_ordering,none,target,3,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600179987848,8,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,distractor,3,3,knife_small_red,overinformativeness,size_sufficient,distractor,2,1,knife_small_blue,overinformativeness,size_sufficient,distractor,1,2,knife_big_blue,overinformativeness,size_sufficient,target,4,4,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180003419,9,clickedObj,,cow,filler,none,target,1,4,door,filler,none,distractor,2,2,pitcher,filler,none,distractor,4,1,carrot,filler,none,distractor,3,3,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180021661,10,clickedObj,,tie_big_blue,overinformativeness,color_sufficient,target,3,1,tie_big_red,overinformativeness,color_sufficient,distractor,1,2,tie_big_red,overinformativeness,color_sufficient,distractor,4,3,tie_small_red,overinformativeness,color_sufficient,distractor,2,4,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180042738,11,clickedObj,,pants_small_green,overinformativeness,color_sufficient,target,1,3,pants_small_pink,overinformativeness,color_sufficient,distractor,3,1,pants_small_pink,overinformativeness,color_sufficient,distractor,2,4,pants_big_pink,overinformativeness,color_sufficient,distractor,4,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180056055,12,clickedObj,,carrot,filler,none,target,3,1,door,filler,none,distractor,4,4,pitcher,filler,none,distractor,2,3,cow,filler,none,distractor,1,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180078321,13,clickedObj,,lighter_big_white,overinformativeness,color_sufficient,target,2,1,lighter_small_black,overinformativeness,color_sufficient,distractor,4,3,lighter_big_black,overinformativeness,color_sufficient,distractor,1,4,lighter_big_black,overinformativeness,color_sufficient,distractor,3,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180091592,14,clickedObj,,car_big_green,overinformativeness,size_sufficient,target,4,2,car_small_blue,overinformativeness,size_sufficient,distractor,3,4,car_small_green,overinformativeness,size_sufficient,distractor,2,1,car_small_green,overinformativeness,size_sufficient,distractor,1,3,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180113359,15,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,1,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,3,4,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,3,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,2,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180132232,16,clickedObj,,key_small_gold,overinformativeness,size_sufficient,distractor,3,1,key_big_gold,overinformativeness,size_sufficient,target,2,4,key_small_gold,overinformativeness,size_sufficient,distractor,4,3,key_small_silver,overinformativeness,size_sufficient,distractor,1,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180155721,17,clickedObj,,man2_bearded_hatted,adjective_ordering,none,target,1,2,man2_bearded_glassed,adjective_ordering,none,distractor,3,4,man2_mustached_glassed,adjective_ordering,none,distractor,4,1,man2_mustached_hatted,adjective_ordering,none,distractor,2,3,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180170632,18,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,2,1,pot_small_green,overinformativeness,color_sufficient,distractor,4,2,pot_big_green,overinformativeness,color_sufficient,distractor,3,3,pot_big_green,overinformativeness,color_sufficient,distractor,1,4,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180186492,19,clickedObj,,guitar,filler,none,target,2,4,bowl,filler,none,distractor,4,1,banana,filler,none,distractor,3,3,elephant,filler,none,distractor,1,2,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
0221-9,1600180203613,20,clickedObj,,fish,filler,none,target,3,2,pig,filler,none,distractor,4,1,tomato,filler,none,distractor,1,3,horse,filler,none,distractor,2,4,Ilyas_cukurovaSL,sevim_cukurovaSL,?order_type=random_order&last_round=
