gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
3094-0,1600260146274,1,clickedObj,,tomato,filler,none,target,4,3,pig,filler,none,distractor,1,2,horse,filler,none,distractor,2,1,fish,filler,none,distractor,3,4,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260157364,2,clickedObj,,elephant,filler,none,target,1,4,guitar,filler,none,distractor,3,1,bowl,filler,none,distractor,2,3,banana,filler,none,distractor,4,2,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260165324,3,clickedObj,,butterfly,filler,none,target,1,1,chick,filler,none,distractor,3,2,strawberry,filler,none,distractor,4,4,dog,filler,none,distractor,2,3,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260171074,4,clickedObj,,horse,filler,none,target,2,1,tomato,filler,none,distractor,3,2,fish,filler,none,distractor,4,3,pig,filler,none,distractor,1,4,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260176364,5,clickedObj,,strawberry,filler,none,target,4,2,butterfly,filler,none,distractor,2,4,dog,filler,none,distractor,3,1,chick,filler,none,distractor,1,3,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260185345,6,clickedObj,,spoon_wooden_dirty,adjective_ordering,none,distractor,2,2,spoon_metal_clean,adjective_ordering,none,distractor,3,4,spoon_wooden_clean,adjective_ordering,none,target,4,3,spoon_metal_dirty,adjective_ordering,none,distractor,1,1,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260199890,7,clickedObj,,bowl,filler,none,target,3,2,banana,filler,none,distractor,4,4,elephant,filler,none,distractor,2,1,guitar,filler,none,distractor,1,3,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260205676,8,clickedObj,,carrot,filler,none,target,4,1,pitcher,filler,none,distractor,1,4,door,filler,none,distractor,3,2,cow,filler,none,distractor,2,3,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260216492,9,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,2,1,ball_small_purple,overinformativeness,size_sufficient,distractor,3,2,ball_small_purple,overinformativeness,size_sufficient,distractor,1,3,ball_small_yellow,overinformativeness,size_sufficient,distractor,4,4,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260223832,10,clickedObj,,box_open_cardboard,adjective_ordering,none,target,1,1,box_closed_wood,adjective_ordering,none,distractor,2,2,box_closed_cardboard,adjective_ordering,none,distractor,4,3,box_open_wood,adjective_ordering,none,distractor,3,4,recai_turkce,enes_turkce,?order_type=random_order&last_round=
3094-0,1600260230488,11,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,4,3,brush_small_red,overinformativeness,size_sufficient,distractor,1,4,brush_small_blue,overinformativeness,size_sufficient,distractor,2,1,brush_small_blue,overinformativeness,size_sufficient,distractor,3,2,recai_turkce,enes_turkce,?order_type=random_order&last_round=
