gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
6575-5,1599042263696,1,clickedObj,,tomato,filler,none,target,2,3,horse,filler,none,distractor,1,2,pig,filler,none,distractor,4,4,fish,filler,none,distractor,3,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042277813,2,clickedObj,,elephant,filler,none,target,2,4,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,1,1,guitar,filler,none,distractor,4,2,berke,idil,?order_type=random_order&last_round=
6575-5,1599042302235,3,clickedObj,,butterfly,filler,none,target,3,3,dog,filler,none,distractor,4,1,strawberry,filler,none,distractor,1,4,chick,filler,none,distractor,2,2,berke,idil,?order_type=random_order&last_round=
6575-5,1599042309560,4,clickedObj,,horse,filler,none,target,2,3,pig,filler,none,distractor,3,2,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,4,4,berke,idil,?order_type=random_order&last_round=
6575-5,1599042325748,5,clickedObj,,strawberry,filler,none,target,4,2,butterfly,filler,none,distractor,3,3,dog,filler,none,distractor,1,4,chick,filler,none,distractor,2,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042341044,6,clickedObj,,woman_young_happy,adjective_ordering,none,distractor,2,4,woman_old_happy,adjective_ordering,none,target,4,2,woman_young_sad,adjective_ordering,none,distractor,1,1,woman_old_sad,adjective_ordering,none,distractor,3,3,berke,idil,?order_type=random_order&last_round=
6575-5,1599042351646,7,clickedObj,,lighter_big_black,overinformativeness,color_sufficient,target,1,3,lighter_small_white,overinformativeness,color_sufficient,distractor,4,2,lighter_big_white,overinformativeness,color_sufficient,distractor,2,1,lighter_big_white,overinformativeness,color_sufficient,distractor,3,4,berke,idil,?order_type=random_order&last_round=
6575-5,1599042362840,8,clickedObj,,key_big_silver,overinformativeness,size_sufficient,target,3,3,key_small_silver,overinformativeness,size_sufficient,distractor,1,4,key_small_gold,overinformativeness,size_sufficient,distractor,2,2,key_small_silver,overinformativeness,size_sufficient,distractor,4,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042374202,9,clickedObj,,guitar,filler,none,target,2,1,banana,filler,none,distractor,1,2,elephant,filler,none,distractor,3,4,bowl,filler,none,distractor,4,3,berke,idil,?order_type=random_order&last_round=
6575-5,1599042385719,10,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,1,4,ball_small_purple,overinformativeness,size_sufficient,distractor,3,1,ball_small_purple,overinformativeness,size_sufficient,distractor,4,2,ball_small_yellow,overinformativeness,size_sufficient,distractor,2,3,berke,idil,?order_type=random_order&last_round=
6575-5,1599042457823,11,clickedObj,,frog_spotted_red,adjective_ordering,none,target,2,2,frog_striped_green,adjective_ordering,none,distractor,1,1,frog_striped_red,adjective_ordering,none,distractor,3,3,frog_spotted_green,adjective_ordering,none,distractor,4,4,berke,idil,?order_type=random_order&last_round=
6575-5,1599042469418,12,clickedObj,,clock_small_yellow,overinformativeness,size_sufficient,target,2,2,clock_big_yellow,overinformativeness,size_sufficient,distractor,3,4,clock_big_purple,overinformativeness,size_sufficient,distractor,1,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,4,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042479213,13,clickedObj,,scissors_big_green,overinformativeness,color_sufficient,target,4,2,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,1,scissors_big_blue,overinformativeness,color_sufficient,distractor,3,3,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,4,berke,idil,?order_type=random_order&last_round=
6575-5,1599042492350,14,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,1,2,button_small_blue,overinformativeness,size_sufficient,distractor,2,3,button_small_blue,overinformativeness,size_sufficient,distractor,4,4,button_small_green,overinformativeness,size_sufficient,distractor,3,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042502604,15,clickedObj,,pencil_short_blue,adjective_ordering,none,target,3,1,pencil_long_blue,adjective_ordering,none,distractor,4,2,pencil_long_black,adjective_ordering,none,distractor,1,3,pencil_short_black,adjective_ordering,none,distractor,2,4,berke,idil,?order_type=random_order&last_round=
6575-5,1599042543816,16,clickedObj,,nails_red_glossy,adjective_ordering,none,distractor,1,1,nails_red_matte,adjective_ordering,none,target,2,2,nails_black_glossy,adjective_ordering,none,distractor,4,4,nails_black_matte,adjective_ordering,none,distractor,3,3,berke,idil,?order_type=random_order&last_round=
6575-5,1599042550989,17,clickedObj,,carrot,filler,none,target,2,4,pitcher,filler,none,distractor,1,3,door,filler,none,distractor,3,2,cow,filler,none,distractor,4,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042564188,18,clickedObj,,table_wood_high,adjective_ordering,none,target,2,3,table_metal_low,adjective_ordering,none,distractor,1,2,table_metal_high,adjective_ordering,none,distractor,3,4,table_wood_low,adjective_ordering,none,distractor,4,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042569693,19,clickedObj,,banana,filler,none,target,4,3,guitar,filler,none,distractor,2,2,elephant,filler,none,distractor,1,4,bowl,filler,none,distractor,3,1,berke,idil,?order_type=random_order&last_round=
6575-5,1599042576437,20,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,3,4,brush_small_blue,overinformativeness,size_sufficient,distractor,1,1,brush_small_blue,overinformativeness,size_sufficient,distractor,2,2,brush_small_red,overinformativeness,size_sufficient,distractor,4,3,berke,idil,?order_type=random_order&last_round=
