gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
9173-1,1599374723112,1,clickedObj,,tomato,filler,none,target,3,1,horse,filler,none,distractor,1,2,fish,filler,none,distractor,2,3,pig,filler,none,distractor,4,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374732468,2,clickedObj,,elephant,filler,none,target,1,2,banana,filler,none,distractor,3,4,bowl,filler,none,distractor,2,1,guitar,filler,none,distractor,4,3,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374740798,3,clickedObj,,butterfly,filler,none,target,3,3,dog,filler,none,distractor,2,1,strawberry,filler,none,distractor,1,4,chick,filler,none,distractor,4,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374748549,4,clickedObj,,horse,filler,none,target,3,4,pig,filler,none,distractor,2,3,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,4,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374758764,5,clickedObj,,strawberry,filler,none,target,2,3,butterfly,filler,none,distractor,3,4,dog,filler,none,distractor,4,1,chick,filler,none,distractor,1,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374773091,6,clickedObj,,woman2_sad_fat,adjective_ordering,none,distractor,4,2,woman2_happy_skinny,adjective_ordering,none,distractor,3,4,woman2_sad_skinny,adjective_ordering,none,distractor,1,1,woman2_happy_fat,adjective_ordering,none,target,2,3,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374803507,7,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,3,4,scissors_small_blue,overinformativeness,color_sufficient,distractor,4,2,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,1,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374820671,8,clickedObj,,balloon_big_pink,overinformativeness,size_sufficient,target,1,4,baloon_small_pink,overinformativeness,size_sufficient,distractor,3,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,2,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,4,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374847293,9,clickedObj,,box_closed_cardboard,adjective_ordering,none,target,3,4,box_open_cardboard,adjective_ordering,none,distractor,1,3,box_open_wood,adjective_ordering,none,distractor,2,1,box_closed_wood,adjective_ordering,none,distractor,4,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374866997,10,clickedObj,,shorts_dry_red,adjective_ordering,none,target,4,4,shorts_dry_green,adjective_ordering,none,distractor,1,2,shorts_wet_green,adjective_ordering,none,distractor,2,1,shorts_wet_red,adjective_ordering,none,distractor,3,3,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374874641,11,clickedObj,,chick,filler,none,target,4,4,strawberry,filler,none,distractor,1,3,dog,filler,none,distractor,3,1,butterfly,filler,none,distractor,2,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374889839,12,clickedObj,,hair_curly_brown,adjective_ordering,none,target,4,1,hair_curly_blonde,adjective_ordering,none,distractor,1,3,hair_straight_brown,adjective_ordering,none,distractor,2,4,hair_straight_blond,adjective_ordering,none,distractor,3,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374902909,13,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,target,3,1,pepper_small_red,overinformativeness,color_sufficient,distractor,4,2,pepper_big_red,overinformativeness,color_sufficient,distractor,1,4,pepper_big_red,overinformativeness,color_sufficient,distractor,2,3,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374914376,14,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,target,3,1,dress_big_blue,overinformativeness,size_sufficient,distractor,4,2,dress_big_green,overinformativeness,size_sufficient,distractor,1,3,dress_big_blue,overinformativeness,size_sufficient,distractor,2,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374927511,15,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,1,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,3,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,4,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374940425,16,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,4,3,bag_big_red,overinformativeness,size_sufficient,distractor,2,4,bag_big_blue,overinformativeness,size_sufficient,distractor,3,1,bag_big_blue,overinformativeness,size_sufficient,distractor,1,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374954217,17,clickedObj,,pig,filler,none,target,2,1,fish,filler,none,distractor,3,3,tomato,filler,none,distractor,4,2,horse,filler,none,distractor,1,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374964040,18,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,target,1,4,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,3,1,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,4,3,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,2,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374974513,19,clickedObj,,carrot,filler,none,target,4,2,pitcher,filler,none,distractor,2,3,cow,filler,none,distractor,1,4,door,filler,none,distractor,3,1,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599374984397,20,clickedObj,,tie_big_blue,overinformativeness,color_sufficient,target,4,1,tie_big_red,overinformativeness,color_sufficient,distractor,2,3,tie_big_red,overinformativeness,color_sufficient,distractor,3,2,tie_small_red,overinformativeness,color_sufficient,distractor,1,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375000219,21,clickedObj,,earring_small_triangular,adjective_ordering,none,distractor,1,3,earring_big_round,adjective_ordering,none,distractor,3,1,earring_small_round,adjective_ordering,none,distractor,2,2,earring_big_triangular,adjective_ordering,none,target,4,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375019848,22,clickedObj,,key_big_silver,overinformativeness,size_sufficient,target,3,1,key_small_silver,overinformativeness,size_sufficient,distractor,4,3,key_small_silver,overinformativeness,size_sufficient,distractor,1,4,key_small_gold,overinformativeness,size_sufficient,distractor,2,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375047428,23,clickedObj,,bottle_plastic_small,adjective_ordering,none,distractor,1,1,bottle_glass_small,adjective_ordering,none,target,2,4,bottle_glass_big,adjective_ordering,none,distractor,3,2,bottle_plastic_big,adjective_ordering,none,distractor,4,3,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375060883,24,clickedObj,,frog_spotted_green,adjective_ordering,none,target,1,1,frog_striped_green,adjective_ordering,none,distractor,4,2,frog_spotted_red,adjective_ordering,none,distractor,2,3,frog_striped_red,adjective_ordering,none,distractor,3,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375071529,25,clickedObj,,pants_small_pink,overinformativeness,color_sufficient,target,4,1,pants_small_green,overinformativeness,color_sufficient,distractor,3,4,pants_small_green,overinformativeness,color_sufficient,distractor,1,3,pants_big_green,overinformativeness,color_sufficient,distractor,2,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375089291,26,clickedObj,,woman_old_sad,adjective_ordering,none,distractor,1,2,woman_old_happy,adjective_ordering,none,target,3,1,woman_young_happy,adjective_ordering,none,distractor,2,4,woman_young_sad,adjective_ordering,none,distractor,4,3,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375099525,27,clickedObj,,skirt_big_blue,overinformativeness,color_sufficient,target,1,3,skirt_big_green,overinformativeness,color_sufficient,distractor,3,1,skirt_big_green,overinformativeness,color_sufficient,distractor,2,2,skirt_small_green,overinformativeness,color_sufficient,distractor,4,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375112124,28,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,1,4,flower_small_pink,overinformativeness,size_sufficient,distractor,4,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,2,2,flower_small_yellow,overinformativeness,size_sufficient,distractor,3,1,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375130576,29,clickedObj,,man_old_bearded,adjective_ordering,none,target,4,4,man_old_cleanshaven,adjective_ordering,none,distractor,1,3,man_young_cleanshaven,adjective_ordering,none,distractor,2,1,man_young_bearded,adjective_ordering,none,distractor,3,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375143899,30,clickedObj,,button_big_green,overinformativeness,size_sufficient,target,3,1,button_small_blue,overinformativeness,size_sufficient,distractor,1,4,button_small_green,overinformativeness,size_sufficient,distractor,2,2,button_small_green,overinformativeness,size_sufficient,distractor,4,3,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375160407,31,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,3,3,man2_mustached_hatted,adjective_ordering,none,distractor,2,4,man2_mustached_glassed,adjective_ordering,none,distractor,4,1,man2_bearded_hatted,adjective_ordering,none,distractor,1,2,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375168555,32,clickedObj,,dog,filler,none,target,3,3,strawberry,filler,none,distractor,2,2,chick,filler,none,distractor,4,1,butterfly,filler,none,distractor,1,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375179667,33,clickedObj,,glove_small_orange,overinformativeness,size_sufficient,target,1,2,glove_big_orange,overinformativeness,size_sufficient,distractor,3,3,glove_big_orange,overinformativeness,size_sufficient,distractor,4,1,glove_big_green,overinformativeness,size_sufficient,distractor,2,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375202600,34,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,distractor,4,2,lipstick_big_red,overinformativeness,color_sufficient,distractor,3,3,lipstick_big_pink,overinformativeness,color_sufficient,target,1,1,lipstick_big_red,overinformativeness,color_sufficient,distractor,2,4,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375214242,35,clickedObj,,cow,filler,none,target,1,4,door,filler,none,distractor,4,3,carrot,filler,none,distractor,3,2,pitcher,filler,none,distractor,2,1,bayramamca,Mustafa,?order_type=random_order&last_round=
9173-1,1599375226874,36,clickedObj,,glasses_small_blue,overinformativeness,size_sufficient,target,3,3,glasses_big_blue,overinformativeness,size_sufficient,distractor,2,2,glasses_big_red,overinformativeness,size_sufficient,distractor,1,4,glasses_big_blue,overinformativeness,size_sufficient,distractor,4,1,bayramamca,Mustafa,?order_type=random_order&last_round=
