gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
1806-a,1599640613143,1,clickedObj,,tomato,filler,none,target,1,3,fish,filler,none,distractor,2,4,horse,filler,none,distractor,4,2,pig,filler,none,distractor,3,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640619085,2,clickedObj,,elephant,filler,none,target,3,2,banana,filler,none,distractor,2,4,bowl,filler,none,distractor,1,3,guitar,filler,none,distractor,4,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640623759,3,clickedObj,,butterfly,filler,none,target,1,2,chick,filler,none,distractor,2,3,strawberry,filler,none,distractor,3,1,dog,filler,none,distractor,4,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640629142,4,clickedObj,,horse,filler,none,target,4,4,fish,filler,none,distractor,3,1,pig,filler,none,distractor,2,2,tomato,filler,none,distractor,1,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640634587,5,clickedObj,,strawberry,filler,none,target,3,3,chick,filler,none,distractor,4,2,dog,filler,none,distractor,1,1,butterfly,filler,none,distractor,2,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640641189,6,clickedObj,,cow,filler,none,target,3,1,door,filler,none,distractor,2,3,carrot,filler,none,distractor,4,2,pitcher,filler,none,distractor,1,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640658854,7,clickedObj,,woman_old_sad,adjective_ordering,none,target,3,3,woman_young_happy,adjective_ordering,none,distractor,2,2,woman_young_sad,adjective_ordering,none,distractor,1,4,woman_old_happy,adjective_ordering,none,distractor,4,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640667604,8,clickedObj,,brush_small_red,overinformativeness,size_sufficient,target,4,4,brush_big_red,overinformativeness,size_sufficient,distractor,1,3,brush_big_blue,overinformativeness,size_sufficient,distractor,3,2,brush_big_red,overinformativeness,size_sufficient,distractor,2,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640687747,9,clickedObj,,picture_colored_square,adjective_ordering,none,target,3,1,picture_bw_rectangular,adjective_ordering,none,distractor,1,3,picture_bw_square,adjective_ordering,none,distractor,2,4,picture_colored_rectangular,adjective_ordering,none,distractor,4,2,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640702994,10,clickedObj,,lock_big_gold,overinformativeness,color_sufficient,target,3,4,lock_big_silver,overinformativeness,color_sufficient,distractor,4,2,lock_small_silver,overinformativeness,color_sufficient,distractor,2,3,lock_big_silver,overinformativeness,color_sufficient,distractor,1,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640713086,11,clickedObj,,glasses_big_blue,overinformativeness,size_sufficient,target,1,1,glasses_small_blue,overinformativeness,size_sufficient,distractor,2,2,glasses_small_red,overinformativeness,size_sufficient,distractor,4,3,glasses_small_blue,overinformativeness,size_sufficient,distractor,3,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640720792,12,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,4,4,pepper_small_red,overinformativeness,color_sufficient,distractor,2,3,pepper_small_red,overinformativeness,color_sufficient,distractor,1,2,pepper_big_red,overinformativeness,color_sufficient,distractor,3,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640728395,13,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,3,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,4,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640735813,14,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,4,4,pants_big_pink,overinformativeness,color_sufficient,distractor,3,1,pants_big_pink,overinformativeness,color_sufficient,distractor,1,3,pants_small_pink,overinformativeness,color_sufficient,distractor,2,2,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640752343,15,clickedObj,,woman2_happy_skinny,adjective_ordering,none,target,4,1,woman2_sad_fat,adjective_ordering,none,distractor,3,2,woman2_sad_skinny,adjective_ordering,none,distractor,2,4,woman2_happy_fat,adjective_ordering,none,distractor,1,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640760793,16,clickedObj,,dog,filler,none,target,4,2,butterfly,filler,none,distractor,1,4,strawberry,filler,none,distractor,2,3,chick,filler,none,distractor,3,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640767528,17,clickedObj,,chick,filler,none,target,3,1,butterfly,filler,none,distractor,2,2,dog,filler,none,distractor,1,4,strawberry,filler,none,distractor,4,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640777545,18,clickedObj,,apple_big_green,overinformativeness,size_sufficient,target,4,3,apple_small_green,overinformativeness,size_sufficient,distractor,3,1,apple_small_red,overinformativeness,size_sufficient,distractor,1,2,apple_small_green,overinformativeness,size_sufficient,distractor,2,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640789891,19,clickedObj,,man_young_cleanshaven,adjective_ordering,none,target,4,1,man_old_bearded,adjective_ordering,none,distractor,3,2,man_young_bearded,adjective_ordering,none,distractor,1,4,man_old_cleanshaven,adjective_ordering,none,distractor,2,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640798891,20,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,2,4,clock_small_yellow,overinformativeness,size_sufficient,distractor,1,1,clock_small_purple,overinformativeness,size_sufficient,distractor,3,3,clock_small_purple,overinformativeness,size_sufficient,distractor,4,2,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640809159,21,clickedObj,,hair_straight_brown,adjective_ordering,none,target,4,4,hair_curly_brown,adjective_ordering,none,distractor,2,2,hair_curly_blonde,adjective_ordering,none,distractor,3,3,hair_straight_blond,adjective_ordering,none,distractor,1,1,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640821699,22,clickedObj,,earring_big_round,adjective_ordering,none,target,2,3,earring_small_round,adjective_ordering,none,distractor,4,2,earring_small_triangular,adjective_ordering,none,distractor,3,1,earring_big_triangular,adjective_ordering,none,distractor,1,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640842599,23,clickedObj,,fish,filler,none,target,3,2,pig,filler,none,distractor,4,1,tomato,filler,none,distractor,1,3,horse,filler,none,distractor,2,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640849791,24,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,3,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,1,2,scissors_big_blue,overinformativeness,color_sufficient,distractor,2,1,scissors_small_blue,overinformativeness,color_sufficient,distractor,4,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640857718,25,clickedObj,,table_metal_low,adjective_ordering,none,target,1,2,table_wood_low,adjective_ordering,none,distractor,3,4,table_wood_high,adjective_ordering,none,distractor,2,1,table_metal_high,adjective_ordering,none,distractor,4,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640866543,26,clickedObj,,lipstick_small_pink,overinformativeness,color_sufficient,target,1,1,lipstick_small_red,overinformativeness,color_sufficient,distractor,3,2,lipstick_big_red,overinformativeness,color_sufficient,distractor,4,4,lipstick_small_red,overinformativeness,color_sufficient,distractor,2,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640873727,27,clickedObj,,pig,filler,none,target,2,1,tomato,filler,none,distractor,3,3,fish,filler,none,distractor,4,2,horse,filler,none,distractor,1,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640879601,28,clickedObj,,glove_big_green,overinformativeness,size_sufficient,target,4,3,glove_small_green,overinformativeness,size_sufficient,distractor,2,2,glove_small_green,overinformativeness,size_sufficient,distractor,1,1,glove_small_orange,overinformativeness,size_sufficient,distractor,3,4,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640885464,29,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,3,4,bag_big_blue,overinformativeness,size_sufficient,distractor,2,2,bag_big_blue,overinformativeness,size_sufficient,distractor,1,1,bag_big_red,overinformativeness,size_sufficient,distractor,4,3,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
1806-a,1599640892962,30,clickedObj,,tshirt_big_yellow,overinformativeness,color_sufficient,target,3,1,tshirt_big_orange,overinformativeness,color_sufficient,distractor,2,4,tshirt_big_orange,overinformativeness,color_sufficient,distractor,4,3,tshirt_small_orange,overinformativeness,color_sufficient,distractor,1,2,hacer_tr_sarimazi,ikranur_tr_sarimazi,?order_type=random_order&last_round=
