gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName, pathName
4859-4,1599662012563,1,clickedObj,,tomato,filler,none,target,1,4,pig,filler,none,distractor,2,3,horse,filler,none,distractor,3,1,fish,filler,none,distractor,4,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662023599,2,clickedObj,,elephant,filler,none,target,3,4,bowl,filler,none,distractor,1,1,banana,filler,none,distractor,2,2,guitar,filler,none,distractor,4,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662023843,2,clickedObj,,elephant,filler,none,target,3,4,guitar,filler,none,distractor,4,3,bowl,filler,none,distractor,1,1,banana,filler,none,distractor,2,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662035880,4,clickedObj,,horse,filler,none,target,1,3,tomato,filler,none,distractor,3,2,fish,filler,none,distractor,2,4,pig,filler,none,distractor,4,1,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662040711,5,clickedObj,,strawberry,filler,none,target,1,3,chick,filler,none,distractor,2,4,butterfly,filler,none,distractor,4,2,dog,filler,none,distractor,3,1,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662048939,6,clickedObj,,spoon_metal_dirty,adjective_ordering,none,distractor,4,2,spoon_wooden_dirty,adjective_ordering,none,distractor,2,1,spoon_wooden_clean,adjective_ordering,none,distractor,3,4,spoon_metal_clean,adjective_ordering,none,target,1,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662056799,7,clickedObj,,frog_striped_red,adjective_ordering,none,distractor,4,3,frog_striped_green,adjective_ordering,none,distractor,3,2,frog_spotted_green,adjective_ordering,none,distractor,1,1,frog_spotted_red,adjective_ordering,none,target,2,4,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662073888,8,clickedObj,,shorts_wet_red,adjective_ordering,none,target,2,4,shorts_dry_red,adjective_ordering,none,distractor,3,3,shorts_dry_green,adjective_ordering,none,distractor,1,1,shorts_wet_green,adjective_ordering,none,distractor,4,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662085664,9,clickedObj,,button_small_green,overinformativeness,size_sufficient,target,3,1,button_big_green,overinformativeness,size_sufficient,distractor,2,3,button_big_green,overinformativeness,size_sufficient,distractor,1,4,button_big_blue,overinformativeness,size_sufficient,distractor,4,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662093394,10,clickedObj,,key_big_silver,overinformativeness,size_sufficient,target,4,1,key_small_silver,overinformativeness,size_sufficient,distractor,1,4,key_small_gold,overinformativeness,size_sufficient,distractor,3,2,key_small_silver,overinformativeness,size_sufficient,distractor,2,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662109592,11,clickedObj,,hair_straight_brown,adjective_ordering,none,target,1,4,hair_curly_brown,adjective_ordering,none,distractor,4,2,hair_curly_blonde,adjective_ordering,none,distractor,3,1,hair_straight_blond,adjective_ordering,none,distractor,2,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662126875,12,clickedObj,,picture_colored_rectangular,adjective_ordering,none,distractor,2,3,picture_bw_rectangular,adjective_ordering,none,target,4,4,picture_colored_square,adjective_ordering,none,distractor,1,1,picture_bw_square,adjective_ordering,none,distractor,3,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662134804,13,clickedObj,,bowl,filler,none,target,1,1,elephant,filler,none,distractor,2,4,banana,filler,none,distractor,4,2,guitar,filler,none,distractor,3,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662143352,14,clickedObj,,man2_bearded_hatted,adjective_ordering,none,target,3,4,man2_bearded_glassed,adjective_ordering,none,distractor,1,2,man2_mustached_hatted,adjective_ordering,none,distractor,4,1,man2_mustached_glassed,adjective_ordering,none,distractor,2,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662152425,15,clickedObj,,dog,filler,none,target,1,2,strawberry,filler,none,distractor,4,3,chick,filler,none,distractor,2,4,butterfly,filler,none,distractor,3,1,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662160736,16,clickedObj,,man_young_bearded,adjective_ordering,none,distractor,1,3,man_old_cleanshaven,adjective_ordering,none,distractor,2,1,man_young_cleanshaven,adjective_ordering,none,distractor,3,2,man_old_bearded,adjective_ordering,none,target,4,4,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662186120,17,clickedObj,,woman2_sad_skinny,adjective_ordering,none,target,3,4,woman2_happy_skinny,adjective_ordering,none,distractor,4,2,woman2_sad_fat,adjective_ordering,none,distractor,2,3,woman2_happy_fat,adjective_ordering,none,distractor,1,1,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662194294,18,clickedObj,,pig,filler,none,target,2,1,tomato,filler,none,distractor,1,2,fish,filler,none,distractor,4,3,horse,filler,none,distractor,3,4,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662205360,19,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,2,1,flower_big_pink,overinformativeness,size_sufficient,distractor,3,3,flower_big_pink,overinformativeness,size_sufficient,distractor,4,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,1,4,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662211336,20,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,3,2,pepper_small_red,overinformativeness,color_sufficient,distractor,4,3,pepper_small_red,overinformativeness,color_sufficient,distractor,1,4,pepper_big_red,overinformativeness,color_sufficient,distractor,2,1,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662217656,21,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,4,1,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,3,4,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,2,3,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662227561,22,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,1,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,3,1,lipstick_big_pink,overinformativeness,color_sufficient,distractor,2,4,lipstick_small_pink,overinformativeness,color_sufficient,distractor,4,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662234994,23,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,4,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,3,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,1,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,4,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662246597,24,clickedObj,,box_open_cardboard,adjective_ordering,none,distractor,4,1,box_closed_cardboard,adjective_ordering,none,target,1,2,box_open_wood,adjective_ordering,none,distractor,2,4,box_closed_wood,adjective_ordering,none,distractor,3,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662253876,25,clickedObj,,tshirt_big_yellow,overinformativeness,color_sufficient,target,2,4,tshirt_small_orange,overinformativeness,color_sufficient,distractor,4,3,tshirt_big_orange,overinformativeness,color_sufficient,distractor,1,1,tshirt_big_orange,overinformativeness,color_sufficient,distractor,3,2,metin_tr,mustafa_tr,?order_type=random_order&last_round=
4859-4,1599662261556,26,clickedObj,,lock_small_silver,overinformativeness,color_sufficient,target,1,2,lock_small_gold,overinformativeness,color_sufficient,distractor,2,1,lock_big_gold,overinformativeness,color_sufficient,distractor,3,4,lock_small_gold,overinformativeness,color_sufficient,distractor,4,3,metin_tr,mustafa_tr,?order_type=random_order&last_round=
